PARTICIPANT_ID,AGE,GENDER,AvgTimeForAllMarathons2012,AvgTimeForAllMarathons2013,AvgTimeForAllMarathons2014,AvgTimeInAllMarathons,AvgTimeInAllEvents,TotalNoOfMarathonEvents,AvgTimeForAllMarathons2015
7838,37,0,323,338,404,306.25,282,4,282
8336,45,1,354,355,357,347,334.4,5,335
5419,37,0,343,355,404,389,389,1,389
4921,57,1,343,355,404,384,400,0,393
7861,42,1,343,350,404,350,350,1,393
8359,42,1,343,355,404,355,355,1,355
699,23,1,249,355,251,248.67,238.18,3,393
3570,35,1,343,355,404,433,381,1,433
4068,45,1,343,337,354,338.33,327.4,3,324
1197,63,1,343,355,404,384,346,0,393
722,33,0,343,355,507,507,378.5,1,393
6464,32,1,343,460,404,460,460,1,393
6793,27,1,343,355,404,305,305,1,305
3547,21,1,343,355,404,421,421,1,421
5442,32,0,402,355,404,402,402,1,393
2073,47,0,343,355,404,513,513,1,513
6487,52,1,343,379,404,379,358,1,393
2196,27,1,343,355,404,311,311,1,311
15,47,1,343,355,404,289,289,1,289
2173,42,0,392,366,404,369,352.1,4,352
2594,37,1,343,355,404,384,377,1,393
822,45,1,343,280,288.5,285.67,257.38,3,393
1320,47,1,343,355,404,316,316,1,316
3945,21,1,343,355,404,367,367,1,367
799,42,1,343,355,463,381.67,381.8,3,341
1220,42,1,343,355,404,344,344,1,344
1389,52,1,343,355,404,335,335,1,335
1881,47,1,343,355,356,356,356,1,393
530,23,1,343,324,404,324,303.25,1,393
2571,21,0,343,355,404,322,322,1,322
2694,10,0,343,355,404,384,358,0,393
3255,52,1,290,355,404,290,313,1,393
6587,40,0,343,355,404,380,372.25,1,380
7085,53,0,343,355,404,384,314.75,0,393
6195,27,1,343,340,404,340,335,1,393
6693,37,1,343,355,404,300,300,1,300
2365,40,0,343,337,350,341.75,341.75,4,393
2402,42,1,343,355,388,388,362.96,1,393
2863,42,1,285,314.5,404,304.67,308.93,3,393
7961,44,1,343,355,404,506,387,1,506
4629,32,0,343,355,485,485,485,1,393
5711,47,1,343,355,404,384,332,0,393
4237,25,1,343,355,425,411,397,2,393
5319,42,0,343,355,555,555,499.67,1,393
991,47,1,264.33,355,404,264.33,257,3,393
1028,35,1,359,355,404,359,296,1,393
7569,37,1,343,355,404,384,323,0,393
8651,52,1,343,355,404,384,667,0,393
7669,41,1,343,355,404,471,429.67,1,471
8167,23,1,343,355,404,281,252.44,1,281
6003,45,1,343,355,404,312,303.5,1,312
3839,21,1,343,355,404,384,242,0,393
5113,27,0,343,355,582,582,582,1,393
7277,31,0,343,310,404,310,296.93,1,393
3447,25,1,377,324,404,350.5,324.25,2,393
5611,42,1,343,355,404,384,416,0,393
8459,32,1,343,355,404,546,546,1,546
7377,27,1,343,355,404,321,321,1,321
6295,47,1,343,355,436,436,436,2,393
5213,37,0,343,355,404,384,320,0,393
8067,35,0,335,355,404,335,286.75,1,393
4821,32,1,343,355,378,378,378,1,393
5903,37,1,343,355,442,442,442,1,393
6985,27,1,343,319,404,319,319,1,393
3739,30,1,301,299,404,300,300,2,393
5004,62,1,343,355,404,469,469,1,469
759,42,1,343,355,404,307,307,1,307
1091,25,0,343,355,404,367,330,1,367
3676,27,1,343,333,404,333,333,1,393
4008,37,1,343,355,404,384,431,0,393
7921,27,1,343,355,404,384,568,0,393
7898,21,1,343,355,499,499,499,1,393
8230,37,1,343,355,404,317,317,1,317
5027,32,0,343,355,404,427,427,1,427
6902,47,1,343,355,404,391,391,1,391
3699,35,1,343,355,404,384,342.71,0,393
805,34,0,343,355,330,316.5,300.89,2,303
6879,21,1,343,369,404,369,369,1,393
6710,52,1,343,355,404,384,277,0,393
7729,32,0,343,355,404,271,252.38,1,271
5196,47,1,343,355,516,516,394,1,393
5405,27,0,343,347,404,347,347,1,393
782,27,0,343,355,404,412,412,1,412
6733,57,1,343,355,425,425,425,1,393
5173,33,1,321,311,404,314.33,306,3,393
8422,35,0,343,366,404,366,328.25,1,393
928,42,1,295,265.67,404,273,246,4,393
6501,32,0,343,355,425,425,425,1,393
2256,32,0,406,355,404,406,368.33,1,393
3507,32,1,343,355,404,384,699,0,393
6756,42,1,343,355,404,384,567,0,393
5150,32,1,343,355,404,337,337,1,337
951,33,0,343,355,404,373,351,1,373
2279,35,1,343,415,404,415,370.8,1,393
3484,39,1,343,355,466,466,392.5,1,393
8376,27,1,343,355,534,534,534,1,393
2471,32,1,343,355,566,566,566,1,393
3553,42,1,343,355,404,391,391,1,391
2448,53,1,343,355,424,424,356.5,1,393
8399,21,0,343,355,404,384,258,0,393
3530,42,0,392,355,404,392,392,1,393
5342,21,1,343,355,404,439,439,1,439
5674,34,0,343,445,404,445,428.11,1,393
1014,42,0,400,355,404,400,370,1,393
6670,52,1,343,355,404,384,391,0,393
2342,33,0,343,355,404,384,504,0,393
2425,37,0,343,355,404,384,350,0,393
6232,32,1,343,355,404,489,489,1,489
1406,32,0,343,355,404,555,555,1,555
2033,42,1,343,355,404,427,427,1,427
3361,43,1,343,355,460,460,350.25,1,393
5236,37,1,343,355,404,384,264,0,393
6564,56,1,343,355,404,384,417.4,0,393
2734,52,0,343,355,404,384,559,0,393
5628,47,1,343,355,404,402,333.58,1,402
6278,42,1,343,413,404,413,413,1,393
7752,21,1,343,331,404,331,331,1,393
8090,21,0,393,355,404,393,393,1,393
5090,19,1,349,355,404,349,338,1,393
6424,37,1,343,355,404,435,435,1,435
1260,42,1,343,375,404,375,338,1,393
1841,37,1,343,355,404,303,276.67,1,303
2926,21,1,343,355,384,413,413,2,442
5482,43,0,366,318,342,342,329.83,3,393
613,34,1,423,393,346,387.33,346.4,3,393
6816,34,1,378,347,404,362.5,346.75,2,393
2488,21,1,343,318,404,318,293,1,393
4154,21,0,343,355,404,532,532,1,532
5044,31,1,343,355,404,239,239.13,1,239
2880,32,1,343,355,404,299,299,1,299
3962,67,1,343,355,404,510,510,1,510
7944,33,0,343,355,411,411,377,1,393
6862,41,1,343,355,404,384,386,0,393
676,34,1,343,242,404,242,221.71,1,393
3095,37,1,343,355,404,344,344,1,344
3593,53,0,379,355,404,379,347.67,1,393
4091,32,1,343,355,295,295,294.9,1,393
4589,43,1,343,355,404,384,413.33,0,393
178,32,1,343,355,404,384,459,0,393
1174,42,0,343,355,404,384,335,0,393
367,32,1,343,297,404,297,297,1,393
3072,55,1,343,290,297,293.5,278.6,2,393
7792,24,1,343,369,404,369,369,1,393
390,42,1,343,355,404,384,381,0,393
7815,32,1,343,325,404,325,325,1,393
155,27,1,343,355,404,369,369,1,369
868,47,1,343,355,404,497,497,1,497
1864,42,0,343,355,404,384,618,0,393
3401,57,1,343,355,471,453,453,2,435
4114,37,0,343,355,404,599,599,1,599
4420,37,1,343,355,430,430,432,1,393
7337,35,1,343,355,404,380,314.33,1,380
1343,21,1,343,369,404,369,369,1,393
845,32,1,343,355,404,384,399,0,393
6086,47,0,343,355,404,384,367,0,393
3922,47,1,320,355,404,320,320,1,393
4781,33,1,343,355,404,355,376,1,355
5820,59,1,343,355,394,381.5,351.67,2,369
7486,25,1,343,398,406,402,402,3,402
3115,47,1,343,355,438,438,438,1,393
7984,33,0,343,355,404,384,410,0,393
7294,32,1,343,355,444,444,444,1,393
4612,38,1,343,368,404,368,347,1,393
653,35,1,343,294,404,294,270.64,2,393
1366,46,0,343,355,404,384,550.75,1,384
7317,42,1,337,355,404,337,337,1,393
5259,21,1,343,355,404,421,421,1,421
6255,53,1,393.5,314,404,367,314,3,393
1429,37,0,343,421,404,421,421,1,393
1927,24,1,343,358,404,358,268.62,1,393
5757,42,1,343,355,404,384,418,0,393
3338,40,1,343,360,406,375,375,3,359
8568,33,1,343,355,404,338,300.33,1,338
5863,47,0,343,484,404,484,484,1,393
6043,49,1,294,355,276,285,268.8,2,393
4569,57,1,343,355,404,362,362,1,362
5565,27,1,343,295,404,292,267.5,2,289
5651,48,1,343,355,404,341,341,1,341
1237,53,1,343,355,404,444,381,1,444
6647,55,1,343,355,404,470,412.5,1,470
2319,33,0,343,355,443,443,386,1,393
2946,47,1,343,355,404,384,405,0,393
4675,57,0,343,383,404,383,383,1,393
8505,70,1,343,355,491,491,491,1,393
347,48,1,343,474,404,474,395.75,1,393
6341,52,1,343,355,430,430,430,1,393
2013,47,0,343,355,404,467,467,1,467
6839,47,1,343,355,494,494,494,1,393
2511,35,0,343,355,404,313,295.2,1,313
4177,32,1,343,355,457,457,457,1,393
5067,27,0,343,355,404,515,515,1,515
8313,30,0,343,355,414,393.5,372.89,2,373
198,41,0,343,401,404,401,400.67,1,393
6149,23,0,343,355,462,462,403.33,1,393
2903,19,1,343,327,327,327,327,2,393
7231,53,0,343,355,404,575,506.5,1,575
3985,37,1,343,365,404,365,332.25,1,393
1821,37,1,343,355,404,384,437,0,393
5502,45,1,343,413,404,413,408.5,1,393
593,25,1,343,355,406,406,316.25,1,393
1257,47,0,343,355,523,523,523,1,393
7091,21,1,343,355,404,354,354,1,354
3510,42,1,343,334,404,333,299.5,2,332
4174,45,0,432,355,387,385.33,363.8,3,337
5525,70,1,343,515,404,515,515,1,393
570,21,1,343,355,404,460,460,1,460
6189,43,1,343,355,404,354,321.67,1,354
7068,42,1,343,319,404,319,319,1,393
4197,27,1,326,328,404,327,327,2,393
1472,52,1,343,381,404,381,375,1,393
2136,29,1,343,392,404,392,392,1,393
2159,51,0,343,355,404,487,402.67,1,487
3487,32,0,305,355,332,318.5,294.7,2,393
4151,37,1,343,354,404,354,354,1,393
8442,42,1,343,355,404,384,440,0,393
5007,37,1,343,258,404,258,258,1,393
5671,27,1,330,320,404,325,285,2,393
7586,61,1,371,384,354,369.67,353.79,3,393
4984,43,1,343,355,404,511,474,1,511
5648,33,1,343,355,404,327,276.5,1,327
3656,33,1,343,327,404,291,264.13,3,279
7609,32,1,343,355,404,443,477,1,443
7045,42,0,343,355,546,546,546,1,393
5548,37,1,343,355,404,384,274,0,393
6212,74,1,343,355,404,384,624,0,393
5571,35,1,343,333,404,333,331.67,1,393
7563,47,1,379.5,380,404,379.67,379.67,3,393
7022,42,0,343,355,404,489,489,1,489
5030,13,1,343,355,404,384,377,0,393
6753,34,1,343,355,404,346,311,1,346
1595,37,0,343,355,404,384,375,0,393
3172,37,1,343,355,404,384,326,0,393
4738,37,0,343,355,404,361,361,1,361
6066,61,0,343,355,531,505,447,2,479
29,47,1,343,355,382,382,382,1,393
6527,32,0,343,355,404,389,389,1,389
8047,34,0,360,355,404,360,377.58,1,393
8542,27,0,343,355,411,411,411,1,393
3218,39,1,296,355,404,296,284.5,1,393
2969,42,0,343,355,404,586,586,1,586
4051,36,0,336,355,404,336,322,1,393
7901,55,1,343,355,556,524,507.75,3,508
4692,42,0,343,355,404,381,381,1,381
7360,48,0,343,363,404,363,354,1,393
5233,57,1,343,355,404,384,319,0,393
3610,32,1,343,293,404,293,293,1,393
8588,42,1,343,355,404,470,470,1,470
175,27,1,343,355,404,555,555,1,555
2090,40,1,343,397,404,397,331.33,1,393
2677,41,0,343,342,354,346.8,341.76,5,342
2339,37,0,343,355,404,384,433,0,393
324,21,0,343,355,404,384,462,0,393
1111,37,0,343,355,404,384,384,0,393
1652,39,1,343,355,404,384,385.5,0,393
1798,43,1,343,355,404,450,371.67,1,450
2631,42,1,343,277,404,277,277,1,393
3713,16,1,343,355,404,450,421.5,1,450
716,29,1,343,355,404,384,287.5,0,393
1549,52,1,343,355,404,384,362,0,393
75,35,1,343,355,404,322,297,1,322
616,37,1,343,355,404,491,491,1,491
1157,43,1,368,333,404,350.5,358,2,393
1698,37,0,343,355,404,384,575,0,393
7506,42,1,343,355,404,384,345,0,393
3925,52,1,343,437,404,437,410,1,393
842,32,1,343,355,404,384,254,0,393
3759,21,1,343,355,404,306,306,1,306
865,32,1,343,355,424,424,424,1,393
3902,35,1,343,355,404,323,323,1,323
4566,42,0,343,355,404,384,343,0,393
201,47,1,343,355,404,384,514,0,393
5133,42,0,343,355,404,433,433,1,433
5797,34,1,343,355,434,410.5,352.09,2,387
1054,43,1,343,355,404,390,368,1,390
1887,53,1,343,355,445,445,445,1,393
2551,32,1,343,355,493,493,493,1,393
5774,21,1,343,355,404,563,563,1,563
7483,49,1,365,355,404,365,355.6,1,393
2528,22,0,343,355,404,391,355.33,1,391
3069,57,1,343,355,404,384,319,0,393
3782,21,1,343,355,404,309,309,1,309
8173,37,1,343,355,404,465,465,1,465
4592,32,1,345,355,404,345,345,1,393
5256,35,1,343,355,404,339,311.5,1,339
6009,57,1,343,355,404,349,349,1,349
7171,42,1,343,355,404,312,312,1,312
2428,34,1,343,374,375,352.33,316.69,3,308
3092,52,0,343,355,491,491,491,1,393
7812,57,1,343,355,404,372,372,1,372
4443,36,1,343,395.5,539,443.33,394.8,3,393
5107,47,1,343,355,404,344,344,1,344
7148,32,0,343,355,389,389,399.5,1,393
7271,42,1,374,355,404,374,374,1,393
6607,32,1,343,355,404,384,380.5,0,393
4466,44,1,391,355,404,391,370.8,1,393
6630,37,1,343,355,404,481,481,1,481
3384,25,0,343,355,435,435,392,1,393
8104,32,1,343,355,345,330,314.86,2,393
5940,31,0,343,431,404,431,419,1,393
6481,16,0,343,355,404,471,446,1,471
5399,47,0,343,355,404,384,512,0,393
8645,33,0,343,355,404,384,437.5,0,393
6089,56,1,345,355,404,345,325.25,2,393
6338,37,1,343,355,404,264,264,1,264
2010,21,0,325,355,404,325,325,1,393
2757,45,1,343,355,404,384,315.75,0,393
4025,37,0,343,355,379,352,324.83,2,325
8353,33,1,343,355,404,384,326,0,393
742,37,0,343,355,404,384,796,0,393
6730,32,1,343,355,404,384,285,0,393
7632,42,0,343,355,465,465,408,1,393
4715,43,0,343,355,347,330,312.94,2,313
301,32,0,343,355,404,404,404,1,393
6550,32,1,343,274,404,274,274,1,393
3633,32,0,343,355,404,384,310,0,393
1383,42,0,343,355,404,384,483,0,393
8024,32,1,327,355,404,327,327,1,393
4323,35,0,339,299,404,319,298.86,2,393
3241,57,1,343,341,404,341,341,1,393
1618,53,1,251,355,404,251,232.25,1,393
6942,57,1,351,355,430,390.5,390.5,2,393
2700,37,1,343,355,540,540,540,1,393
8565,59,1,343,355,404,384,387.5,0,393
8416,43,1,343,365,404,365,317,1,393
1924,44,0,343,355,465,465,408,1,393
1675,35,0,343,355,404,384,285.67,0,393
7775,62,1,343,384,404,384,384,1,393
8316,52,0,343,355,575,575,575,1,393
1283,42,1,343,355,404,384,377,1,393
52,27,1,277,355,404,277,273.8,1,393
3298,44,0,343,355,442,442,360,1,393
1134,52,0,343,363,412,378.25,364.83,4,375
2216,32,1,316,355,404,316,316,1,393
8253,35,1,343,355,404,322,291.5,1,322
4340,42,1,343,355,404,332,332,1,332
5336,52,1,343,355,404,278,278,1,278
7257,27,1,343,406,404,406,406,1,393
3344,43,0,303,312,310,308.33,299.2,3,393
427,13,0,343,355,404,384,298,0,393
1423,47,1,343,355,404,384,301,0,393
4363,27,1,343,355,404,353,353,1,353
5359,28,1,330,328,404,329,320,2,393
404,42,1,343,308,404,308,303.67,1,393
7875,37,1,314,329,404,324,312.71,3,393
5382,32,0,343,355,404,403,403,1,403
2465,21,1,334,355,404,334,334,1,393
6378,32,0,343,355,404,384,461,0,393
5860,28,1,367,313,404,340,340,2,393
450,47,1,343,355,404,384,377,1,393
7397,24,1,343,339,404,333,333,2,327
6401,42,1,356,339.5,404,344.75,344.29,4,344
1446,40,1,343,401,404,401,387.14,1,393
6856,37,1,343,355,404,384,435,0,393
5837,48,0,343,355,404,423,382.25,2,423
2843,37,1,343,355,404,317,317,1,317
5814,43,1,216,355,225,219,265.91,3,393
945,37,0,343,355,404,502,502,1,502
6779,33,0,343,355,404,459,437.75,1,459
3822,32,1,343,355,519,519,519,1,393
7712,43,1,343,355,549,549,449.5,1,393
4881,36,0,343,355,402,396,390,2,390
2302,17,1,295,355,404,295,240,1,393
3799,56,1,393,355,404,393,400.67,1,393
7735,35,0,343,355,404,460,416.5,1,460
8276,57,1,307,355,404,307,307,1,393
4858,34,1,343,266,404,266,239.91,1,393
1784,37,1,361,355,404,361,361,1,393
2325,27,0,394,355,404,394,394,1,393
2866,41,1,343,294,404,294,263.83,1,393
4317,32,0,343,355,404,384,385,0,393
3776,32,1,337,355,404,337,337,1,393
5923,42,1,343,308,404,308,299.71,1,393
6919,42,1,320.33,315,404,318.33,319.38,6,319
4904,27,1,338,355,404,338,338,1,393
4300,44,1,343,355,404,445,381.5,1,445
5296,0,-1,343,355,404,378,378,1,378
968,37,1,343,355,404,370,370,1,370
7938,27,0,343,355,404,411,352.5,1,411
364,35,0,343,328,404,328,311.2,1,393
905,47,0,343,421,404,421,421,1,393
6315,27,0,343,355,413,413,413,1,393
1987,53,1,343,355,404,446,411,1,446
4254,67,1,343,385,404,385,385,1,393
4841,50,1,250,259,404,254.5,249.75,2,393
8339,37,1,343,355,404,384,377,1,393
6175,22,0,343,403,404,403,419.5,1,393
6418,50,1,369,355,404,369,400.75,1,393
513,35,1,343,355,404,384,282,0,393
7798,42,0,343,355,349,349,349,1,393
4795,24,0,343,355,440,440,387.5,1,393
5877,32,0,352,355,404,352,352,1,393
467,37,1,343,355,404,283,283,1,283
6716,42,1,343,355,404,354,354,1,354
2388,44,0,299,298,404,298.5,286.4,2,393
8190,23,1,343,355,404,305,262.75,1,305
4403,33,0,343,355,404,325,291.33,1,325
3321,42,1,343,362,404,362,332.5,1,393
2239,25,1,343,355,404,328,259.33,1,328
2780,52,1,343,355,511,513.5,513.5,2,516
3862,52,1,343,375,404,375,375,1,393
7672,31,1,343,355,404,363,368.2,1,363
4755,33,1,343,308,404,308,288.83,1,393
12,47,1,343,355,434,434,434,1,393
1008,32,0,343,355,404,336,336,1,336
8668,47,1,343,355,404,401,401,1,401
4732,33,1,343,355,404,323,295,1,323
1031,57,0,372,355,404,372,372,1,393
8691,52,1,327,355,404,327,327,1,393
2027,51,1,411,411,411,411,411.1,5,411
2740,37,0,343,355,404,422,422,1,422
3736,32,1,343,355,356,356,307.8,1,393
35,42,1,343,355,404,384,514,0,393
7460,52,1,341,355,404,341,341,1,393
2050,32,1,343,333,404,333,300.33,1,393
8001,37,1,343,355,371,371,371,1,393
5422,39,1,343,355,476,476,404.78,1,393
1509,37,1,343,355,543,543,370.8,1,393
3258,30,1,343,355,404,384,272,0,393
8150,43,0,356,370,404,363,353.67,2,393
5273,57,1,343,355,404,368,368,1,368
5445,45,1,343,355,404,547,378.18,1,547
5986,47,1,343,355,404,467,467,1,467
3281,27,1,343,355,404,331,331,1,331
1486,17,0,343,355,404,384,269,0,393
8127,31,1,319,355,258,284.75,272.14,4,308
5963,32,0,343,355,576,576,576,1,393
553,21,1,343,355,404,450,450,1,450
2717,37,1,343,355,488,488,488,1,393
4489,42,0,343,407,416,411.5,411.5,2,393
702,33,1,343,355,404,407,358.5,1,407
6112,37,1,343,355,404,383,383,1,383
1243,32,0,395.5,355,404,395.5,395.5,2,393
6653,21,0,343,355,404,331,331,1,331
7194,37,0,343,355,404,397,397,1,397
3407,47,1,343,355,404,475,475,1,475
3948,37,1,343,355,404,354,354,1,354
5508,36,1,294,355,404,294,271.11,1,393
1180,62,1,343,355,404,497,497,1,497
6504,52,1,343,355,404,481,481,1,481
2176,33,1,343,337,404,337,293.75,1,393
5900,47,1,343,355,562.5,562.5,484,2,393
7523,64,1,343,355,404,502,369,1,502
3195,47,0,343,354,404,354,354,1,393
1572,54,1,343,355,475,475,403.5,1,393
2568,37,1,343,355,404,355,355,1,393
4191,32,1,343,309,404,309,309,1,393
882,40,1,392,394,404,393,389.14,2,393
98,42,1,407,355,404,407,407,1,393
341,37,0,343,355,404,327,313,1,327
6590,32,1,343,355,404,458,458,1,458
2262,45,1,351,309,329.67,327.29,320.9,7,321
4426,42,1,343,355,404,384,482,0,393
4277,42,1,343,355,352,352,367,1,393
8605,22,0,343,351,404,351,338,1,393
490,32,1,343,355,404,236,230.67,1,236
6441,56,1,343,338,404,338,317.67,1,393
2113,43,1,343,355,404,361.5,332.25,2,362
2654,27,1,343,355,404,478,478,1,478
4818,32,1,343,355,404,384,451,0,393
6982,27,1,343,355,404,384,272,0,393
8213,62,0,373,364,404,367,359.17,3,393
4967,47,0,343,355,531,531,531,1,393
6049,64,1,343,339,339,339,339,7,339
1721,27,0,343,355,419,419,419,1,393
7131,33,1,343,355,404,384,377,1,393
2803,22,1,378,443,404,410.5,369.86,2,393
639,40,1,343,355,404,384,304.5,0,393
3885,21,1,343,395,404,395,395,1,393
5170,32,1,343,355,395,395,395,1,393
925,37,1,343,355,404,299,299,1,299
3842,30,1,343,355,417,417,417,2,393
8087,57,1,343,355,404,384,331,0,393
8064,32,1,343,350,404,350,350,1,393
5193,37,1,343,355,404,428,428,1,428
3865,57,1,366,334,404,350,350,2,393
6736,47,0,343,355,404,384,508.5,0,393
2468,32,1,343,336,404,336,336,1,393
