PARTICIPANT_ID,AGE,GENDER,AvgTimeForMontrealMarathon2012,AvgTimeForMontrealMarathon2013,AvgTimeForMontrealMarathon2014,AvgTimeInAllMarathons,AvgTimeInAllEvents,TotalNoOfMarathonEvents,AvgTimeForMontrealMarathon2015
128,19,-1,0,125.33,0,125.33,348,1,0
129,46,1,0,0,0,69.6,131.6,2,69.6
130,32,1,296,0,0,296,296,1,0
131,32,1,0,380,0,380,380,1,0
132,53,-1,0,24.94,0,24.94,339.25,2,0
133,27,1,0,333,0,333,333,1,0
134,52,1,0,331,0,331,331,1,0
135,27,1,0,0,0,0,339,0,0
136,6,1,0,0,0,0,0,0,0
137,35,1,0,32.55,0,32.55,209.73,1,0
138,42,1,0,0,0,509,509,1,509
139,62,1,0,0,0,456,456,1,456
140,36,-1,39.33,36.44,44.89,164,299.11,5,43.33
141,45,1,184.5,0,0,184.5,387,1,0
142,35,-1,0,0,146.67,146.67,299,1,0
143,21,1,0,0,0,327,327,1,327
144,37,1,0,0,0,441,441,1,441
145,32,1,0,0,60,144.14,273,4,0
146,27,1,0,0,0,0,352,0,0
147,21,1,0,0,0,351,351,1,351
148,48,1,0,0,0,141.67,408.67,1,141.67
149,42,1,255,0,0,255,255,1,0
150,52,1,0,0,0,0,467,0,0
151,21,1,0,0,0,0,343,0,0
152,21,-1,0,0,0,156,302,1,156
153,45,1,0,0,243,243,243,1,0
154,33,1,0,0,0,257.5,438.5,1,257.5
155,27,1,0,0,0,369,369,1,369
156,43,-1,0,0,0,0,396,0,0
157,45,1,15.83,17.39,0,33.22,161.72,3,0
158,33,1,0,0,0,0,450.5,0,0
159,27,1,0,508,0,508,508,1,0
160,32,1,198,0,0,198,198,1,0
161,25,-1,0,0,178,178,178,1,0
162,34,-1,77.4,79.2,0,156.6,412,2,0
163,42,1,0,0,0,0,0,1,0
164,52,1,0,0,0,0,403,0,0
165,33,0,0,0,195.5,195.5,357,1,0
166,42,1,0,0,0,346,346,1,346
167,62,-1,0,0,556,556,556,1,0
168,43,1,129.67,0,0,129.67,404,1,0
169,27,1,0,323,0,323,323,1,0
170,31,1,42.38,0,0,42.38,268.38,1,0
171,52,1,0,121.67,0,121.67,347.67,1,0
172,35,1,0,15.88,0,15.88,141,1,0
173,42,1,0,0,415,415,415,1,0
174,47,-1,0,0,0,572,572,1,572
175,27,1,0,0,0,555,555,1,555
176,39,1,0,0,197.5,370.5,370.5,2,173
177,27,-1,0,0,0,0,397,0,0
178,32,1,0,0,0,0,459,0,0
179,6,-1,0,0,0,0,0,0,0
180,32,1,0,0,0,0,339,0,0
181,39,1,0,34.29,97.57,131.86,314.29,3,0
182,52,-1,0,0,0,354,354,1,354
183,67,1,0,0,480,480,480,1,0
184,27,1,0,0,0,389,389,1,389
185,43,-1,44.75,0,0,144.63,287.5,3,52.63
186,37,1,0,0,0,106.67,232,1,0
187,44,1,0,0,0,0,184.25,1,0
188,21,1,0,0,0,536,536,1,536
189,47,0,59.83,0,0,118,224.83,4,0
190,33,-1,0,0,81,81,81,1,0
191,42,1,0,0,496,496,496,1,0
192,42,1,0,0,139,139,252.33,2,0
193,36,1,0,0,0,282.67,282.67,2,153.33
194,26,1,83,0,0,83,149.5,1,0
195,21,1,0,0,0,453,453,1,453
196,42,1,0,0,434,434,434,1,0
197,37,1,59,57.83,0,116.83,227,3,0
198,41,-1,0,0,0,0,333.83,1,0
199,47,-1,0,370,0,370,370,1,0
200,42,1,0,0,0,0,383,0,0
201,47,1,0,0,0,0,514,0,0
202,53,1,33.09,31.45,40.09,104.64,317.09,4,0
203,25,1,0,0,0,0,282.4,0,0
204,42,1,0,0,0,524,524,1,524
205,43,1,0,53.2,56.2,109.4,155.4,4,0
206,53,-1,0,169.5,0,356.5,356.5,2,0
207,44,1,0,0,18.94,41.29,157.41,7,0
208,37,1,0,0,186,186,327.5,1,0
209,42,-1,0,0,0,0,595,0,0
210,35,-1,0,181,0,181,344.5,1,0
211,21,-1,0,0,0,0,535,0,0
212,43,1,85.75,0,0,85.75,329.25,1,0
213,32,1,0,0,0,417,417,1,417
214,23,-1,0,121.33,0,121.33,231,1,0
215,49,-1,181,0,0,417.5,417.5,2,236.5
216,21,1,0,0,543,543,543,1,0
217,32,1,0,0,0,78.17,396,1,78.17
218,37,-1,0,0,482,482,482,1,0
219,37,-1,0,0,0,0,350,0,0
220,27,-1,0,0,443,443,443,1,0
221,37,1,0,110.25,123.5,369.75,452.5,3,136
222,37,1,201.5,0,0,201.5,380,1,0
223,32,1,0,277,0,277,277,1,0
224,42,1,0,0,200,200,321.5,1,0
225,47,-1,396,0,0,396,396,1,0
226,47,1,0,0,0,468,468,1,468
227,35,-1,0,0,0,0,372.5,0,0
228,27,1,0,169.5,0,169.5,169.5,1,0
229,34,1,0,0,66.43,66.43,364.14,1,0
230,27,1,0,0,0,412,412,1,412
231,10,1,54,0,0,54,282.83,1,0
232,21,1,0,0,0,277,277,1,277
233,39,1,0,0,199.5,199.5,369.5,1,0
234,16,1,0,0,435,435,435,1,0
235,27,-1,0,0,0,533,533,1,533
236,40,-1,0,54.86,62.57,117.43,331,2,0
237,47,1,0,135,0,135,307,2,0
238,52,1,0,430,0,430,430,1,0
239,42,1,0,0,0,425,425,1,425
240,36,-1,0,113.67,0,113.67,220.33,1,0
241,32,1,0,381,0,381,381,1,0
242,52,1,395,0,0,395,395,1,0
243,52,1,307,0,0,307,307,1,0
244,37,1,0,0,406,406,406,1,0
245,21,1,0,0,0,378,378,1,378
246,24,-1,0,85.25,0,85.25,306.25,1,0
247,36,1,0,0,42.63,42.63,227,2,0
248,43,-1,0,0,0,212,387.5,1,212
249,28,-1,0,73.6,0,73.6,138.8,2,0
250,27,-1,0,0,0,360,360,1,360
251,52,1,0,0,0,0,502,0,0
252,42,-1,0,363,0,363,363,1,0
253,47,1,0,0,0,0,326,0,0
254,32,1,0,0,0,416,416,1,416
255,21,1,0,0,472,472,472,1,0
256,42,1,0,0,0,442,442,1,442
257,43,-1,195.5,0,0,195.5,366,1,0
258,51,1,0,36,0,73,249,3,37
259,42,1,0,0,56.86,56.86,228.57,1,0
260,22,1,0,157.33,163.67,321,417,2,0
261,52,-1,0,0,0,535,535,2,286
262,47,1,0,0,0,414,414,1,414
263,21,1,0,0,416,416,416,1,0
264,32,1,0,0,437,437,437,1,0
265,37,1,0,0,184,356.5,356.5,2,172.5
266,62,1,0,188,204.5,392.5,392.5,2,0
267,42,1,0,0,0,0,0,1,0
268,16,1,0,0,518,518,518,1,0
269,27,1,0,0,0,300,300,1,300
270,44,1,0,0,0,61.17,279,2,61.17
271,32,1,0,0,0,0,667,0,0
272,33,1,0,0,0,172,305,1,172
273,60,1,0,0,0,0,357,0,0
274,18,1,0,0,0,116.33,331.33,1,116.33
275,62,1,161.5,0,0,161.5,161.5,2,0
276,52,-1,0,0,420,420,420,1,0
277,52,1,0,0,0,436,436,1,436
278,37,1,0,0,0,283,283,1,283
279,42,1,0,0,0,0,269,0,0
280,50,1,0,186,0,186,356.5,1,0
281,32,1,0,0,0,374,374,1,374
282,37,1,43.43,0,44.86,128.43,128.43,7,0
283,21,1,0,0,0,429,429,1,429
284,35,-1,0,0,0,141.67,370.67,1,141.67
285,52,1,0,0,439,439,439,1,0
286,56,1,0,73.4,0,73.4,190,1,0
287,42,1,0,0,0,301,301,1,301
288,37,1,0,0,294,294,294,1,0
289,37,1,0,0,0,0,0,1,0
290,57,1,0,0,0,203,203,1,203
291,45,1,0,0,0,66.67,180.33,1,66.67
292,62,1,0,0,0,0,368,0,0
293,21,1,392,0,0,392,392,1,0
294,52,1,0,417,0,417,417,1,0
295,32,-1,0,0,453,453,453,1,0
296,42,1,113.67,115,0,228.67,322.67,2,0
297,27,1,0,0,0,0,461,0,0
298,37,1,0,0,0,375,375,1,375
299,52,-1,0,0,0,149,420.33,1,149
300,27,1,0,0,0,0,494,0,0
301,32,-1,0,0,404,404,404,1,0
302,22,0,0,0,0,0,92.36,1,0
303,53,1,0,0,0,215,383,1,215
304,27,1,0,0,459,459,459,1,0
305,21,1,354,0,0,354,354,1,0
306,37,1,0,0,0,395,395,1,395
307,21,1,164,160,0,324,324,2,0
308,37,1,0,0,0,395,395,1,395
309,37,1,0,0,0,361,361,1,361
310,21,-1,203.5,0,0,203.5,371,1,0
311,6,1,0,0,0,0,0,0,0
312,27,-1,366,0,0,366,366,1,0
313,42,1,0,0,0,530,530,1,530
314,42,1,0,0,0,273,273,1,273
315,26,1,12.72,0,0,25.2,131.36,2,0
316,39,1,0,0,0,234.5,415.5,1,234.5
317,40,-1,0,100.5,0,100.5,382,1,0
318,37,1,0,0,0,410,410,1,410
319,42,1,59.4,57.8,0,175.8,232.6,3,58.6
320,37,1,0,0,0,364,364,1,364
321,42,1,79.25,75.5,80.5,235.25,306.25,3,0
322,35,1,0,21.12,0,21.12,264.94,3,0
323,35,1,0,0,0,23.42,200.5,4,0
324,21,-1,0,0,0,0,462,0,0
325,37,1,0,0,0,0,403,0,0
326,42,1,0,0,0,511,511,1,511
327,36,-1,0,0,148.33,148.33,276.67,1,0
328,32,1,0,0,186.67,186.67,443.67,1,0
329,37,1,0,0,388,388,388,1,0
330,21,1,0,0,0,409,409,1,409
331,23,1,0,0,9.37,20.14,138.49,5,0
332,43,-1,10.32,0,0,20.41,344.84,3,0
333,32,1,0,131,0,266.5,266.5,2,0
334,37,1,0,0,164,164,307,1,0
335,40,1,0,0,0,72.17,346.33,1,72.17
336,47,1,0,207.5,0,459.5,459.5,2,0
337,42,1,0,97.33,0,192,281.33,2,94.67
338,57,1,0,0,0,0,360,0,0
339,32,1,0,0,0,372,372,1,372
340,27,1,0,0,0,0,415,0,0
341,37,-1,0,0,0,163.5,313,1,163.5
342,56,1,0,0,55.33,163,163,5,0
343,25,1,0,70.5,0,141.25,268,2,0
344,33,1,64.33,0,0,64.33,348.33,1,0
345,27,-1,50.43,0,0,50.43,278.14,1,0
346,27,1,0,0,0,421,421,1,421
347,48,1,0,118.5,0,118.5,395.75,1,0
348,21,-1,0,0,147.25,147.25,338.5,1,0
349,33,1,0,25.57,0,25.57,188.43,1,0
350,36,1,106.67,104.67,0,211.33,313.33,2,0
351,27,1,0,0,0,0,385,0,0
352,37,1,0,357,0,357,357,1,0
353,23,-1,0,0,101.17,210.33,502,2,109.17
354,57,1,0,0,314,314,314,1,0
355,45,1,0,0,0,106,348.75,1,106
356,37,1,0,0,0,415,415,1,415
357,36,1,109,0,0,109,219,1,0
358,55,1,157.5,0,0,157.5,309.5,1,0
359,37,1,0,0,32.7,32.7,178.3,1,0
360,32,1,0,0,0,418,418,1,418
361,32,1,0,0,0,0,366,0,0
362,27,1,0,0,0,392,392,1,392
363,37,-1,191.5,0,0,191.5,367,1,0
364,35,-1,0,65.6,0,65.6,186.8,1,0
365,21,1,0,0,0,0,575,0,0
366,47,-1,0,0,0,0,729,0,0
367,32,1,0,0,0,0,148.5,1,0
368,42,1,403,0,0,403,403,1,0
369,32,1,0,0,0,341,341,1,341
370,37,1,0,0,421,421,421,1,0
371,44,1,0,83.5,0,83.5,317,1,0
372,37,-1,0,0,271,271,456.5,1,0
373,57,-1,0,0,0,459,459,1,459
374,43,1,0,0,0,0,295.5,0,0
375,29,1,0,0,51.29,51.29,96,1,0
376,27,1,0,0,291,291,291,1,0
377,62,1,0,292,0,292,292,1,0
378,32,1,0,474,0,474,474,1,0
379,55,1,0,42.3,44.3,174.9,361.8,4,51.2
380,32,1,0,0,0,562,562,1,562
381,35,1,0,0,0,209,345,1,209
382,47,1,0,0,0,466,466,1,466
383,28,-1,0,66.83,0,66.83,178.5,1,0
384,47,0,0,0,2.91,19.83,192.77,12,0
385,52,1,0,0,0,0,266.67,1,0
386,21,1,0,0,0,0,373,0,0
387,46,1,17.33,0,0,32.57,106.57,5,0
388,45,1,0,0,0,0,462,0,0
389,27,1,0,0,434,434,434,1,0
390,42,1,0,0,0,0,381,0,0
391,32,1,0,0,0,0,0,1,0
392,37,1,0,0,0,0,279,0,0
393,43,-1,0,0,0,165.5,305.5,1,165.5
394,53,1,0,0,0,28.5,250.08,1,28.5
395,42,-1,0,0,0,0,601,0,0
396,47,1,0,0,0,284,284,1,284
397,42,-1,0,0,0,355,355,1,355
398,21,1,0,0,153,315,315,2,0
399,33,-1,0,0,0,210.5,210.5,1,210.5
400,52,1,0,0,0,503,503,1,503
401,16,-1,0,0,210,210,368.5,1,0
402,25,1,0,0,0,0,155,0,0
403,35,1,0,0,0,191,366.5,1,191
404,42,1,0,102.67,0,102.67,303.67,1,0
405,21,1,0,117.33,0,117.33,354.33,1,0
406,37,1,0,0,0,514,514,1,514
407,37,1,346,0,0,346,346,1,0
408,42,1,390,0,0,390,390,1,0
409,27,1,0,283.5,0,283.5,644,1,0
410,26,1,0,22.64,0,45.29,141.93,3,0
411,43,1,0,0,0,200,366.5,1,200
412,46,-1,0,0,0,246.67,391.67,2,120
413,42,1,0,0,0,551,551,1,551
414,47,1,0,0,0,170.5,314.5,1,170.5
415,50,1,57.2,0,0,57.2,236.2,2,0
416,48,1,0,0,147.67,147.67,376.33,1,0
417,27,1,0,0,377,377,377,1,0
418,32,1,326,0,0,326,326,1,0
419,30,1,0,0,23.69,47,194.85,3,0
420,43,1,0,74.2,93.6,254,318.4,4,0
421,51,1,30.29,31.43,0,119.29,305.29,5,0
422,32,1,0,342,0,342,342,1,0
423,57,1,170,0,0,170,170,2,0
424,25,-1,0,0,62.86,62.86,331.43,1,0
425,59,1,0,0,0,116.75,384.25,1,116.75
426,33,-1,0,0,119.25,119.25,216.75,1,0
427,13,0,0,0,0,0,298,0,0
428,45,1,66.6,0,0,66.6,256.8,1,0
429,47,-1,0,0,0,0,421,0,0
430,37,1,0,358,0,358,358,1,0
431,27,-1,364,0,0,364,364,1,0
432,34,-1,0,40.88,48,88.88,249.38,2,0
433,27,-1,0,0,297,297,297,1,0
434,17,-1,0,0,115.67,115.67,299.67,1,0
435,47,1,0,0,0,342,342,1,342
436,57,1,0,0,0,353,353,1,353
437,42,1,0,104.67,0,104.67,285.33,1,0
438,36,-1,111.67,0,0,111.67,334.67,1,0
439,16,-1,0,0,0,232,442.5,1,232
440,57,-1,0,0,567,567,567,1,0
441,21,1,0,0,0,0,0,1,0
442,55,1,17.53,0,0,34.76,169.12,6,0
443,34,1,18.44,0,0,18.44,144.38,1,0
444,47,1,0,0,0,344,344,1,344
445,32,1,0,165,0,165,330,1,0
446,52,1,0,504,0,504,504,1,0
447,0,0,405,0,0,405,405,1,0
448,47,1,0,0,0,357,357,1,357
449,29,1,0,230,0,230,378,1,0
450,47,1,0,0,0,0,0,1,0
451,21,1,0,0,105,212.67,212.67,2,107.67
452,21,-1,0,362,0,362,362,1,0
453,27,-1,0,0,423,423,423,1,0
454,37,1,0,0,0,307,307,1,307
455,42,1,0,0,162.33,162.33,280.67,1,0
456,32,1,0,0,0,77.25,268.75,1,77.25
457,32,-1,0,0,0,357,357,1,357
458,67,1,0,0,0,0,672,0,0
459,32,-1,0,0,331,331,331,1,0
460,42,1,0,395,0,395,395,1,0
461,49,1,0,34,0,34,297,2,0
462,42,-1,371,0,0,371,371,1,0
463,44,-1,0,0,44.9,87.4,149.3,3,0
464,42,1,0,0,281,281,281,1,0
465,27,-1,0,369,0,369,369,1,0
466,32,-1,0,0,0,0,313,0,0
467,37,1,0,0,0,283,283,1,283
468,47,1,93.25,84.75,0,178,178,2,0
469,25,1,0,0,0,139.5,269,1,139.5
470,57,1,0,0,364,364,364,1,0
471,42,1,0,0,0,0,395,0,0
472,37,1,0,0,0,0,295,0,0
473,27,1,0,343,0,343,343,1,0
474,60,1,191,0,0,400.5,400.5,2,0
475,50,1,0,0,0,61.17,332.17,1,61.17
476,55,1,15.32,15.05,0,46.36,282.36,5,0
477,45,1,0,0,164,164,295.5,1,0
478,37,1,0,0,144.67,278,378.33,2,133.33
479,37,1,0,0,0,299,299,1,299
480,42,1,0,0,399,399,399,1,0
481,49,1,0,0,43.11,43.11,286,2,0
482,36,1,33,0,0,33,152.11,2,0
483,33,1,0,0,16.77,16.77,197,1,0
484,27,1,0,329,0,329,329,1,0
485,32,-1,0,0,0,487,487,1,487
486,32,1,0,8.81,0,17.19,130.77,6,0
487,49,-1,163.5,0,0,163.5,340.5,1,0
488,32,1,0,0,0,337,337,1,337
489,43,1,100,94.75,0,194.75,364.5,2,0
490,32,1,0,0,0,78.67,230.67,1,78.67
491,32,1,0,0,0,456,456,1,456
492,37,1,0,156.5,0,156.5,295,1,0
493,32,-1,0,0,0,367,367,1,367
494,47,1,0,0,0,427,427,3,147
495,36,1,130,0,0,130,236.33,2,0
496,53,1,0,0,0,0,279.5,0,0
497,42,-1,103,0,0,200,290.67,2,0
498,21,1,280,0,0,280,280,1,0
499,32,-1,0,0,522,522,522,1,0
500,36,-1,115,117.67,0,232.67,232.67,2,0
501,37,1,320,0,0,320,320,1,0
502,25,-1,0,0,0,0,319.5,0,0
503,33,1,0,0,277.5,277.5,489.5,1,0
504,42,-1,0,0,0,0,365,0,0
505,47,-1,359,0,0,359,359,1,0
506,52,-1,0,383,0,383,383,1,0
507,32,-1,0,0,66.86,66.86,279,1,0
508,47,1,0,0,0,291,291,1,291
509,32,1,0,0,0,0,387,0,0
510,47,1,0,0,0,0,244.78,1,0
511,47,1,0,0,0,0,325,0,0
512,42,1,0,0,188.5,188.5,188.5,1,0
513,35,1,0,0,0,0,141,0,0
514,37,1,0,0,216.5,216.5,399,1,0
515,46,1,32.08,0,0,64.08,363.08,2,0
516,42,1,0,0,0,0,0,0,0
517,42,1,92.33,0,0,92.33,196.33,2,0
518,53,1,0,0,0,198,354.5,1,198
519,37,1,0,0,0,0,310,0,0
520,21,1,0,0,0,351,351,1,351
521,27,1,0,94.75,0,94.75,94.75,1,0
522,47,-1,0,485,0,485,485,1,0
523,37,1,0,0,195,376,376,2,181
524,37,1,0,0,0,391,391,1,391
525,27,1,0,0,0,386,386,1,386
526,33,1,0,0,0,0,254.5,0,0
527,42,-1,0,0,517,517,517,1,0
528,37,1,0,0,166,166,322,1,0
529,35,1,0,0,139,139,257,1,0
530,23,1,0,81,0,81,303.25,1,0
531,46,1,0,0,87.2,87.2,232.4,2,0
532,42,-1,0,0,517,517,517,1,0
533,62,1,167,0,0,167,316,1,0
534,21,1,0,0,0,370,370,1,370
535,37,-1,0,0,0,419,419,1,419
536,18,-1,0,0,0,169.33,384,1,169.33
537,21,1,0,0,0,429,429,1,429
538,52,1,0,0,0,458,458,1,458
539,35,1,0,0,0,99.33,296.33,1,99.33
540,33,-1,0,0,0,211,378,1,211
541,57,1,0,303,0,303,303,1,0
542,47,-1,0,0,0,551,551,1,551
543,37,1,0,0,183.5,183.5,319.5,1,0
544,42,-1,0,0,0,341,341,1,341
545,47,1,0,0,0,0,308.67,0,0
546,27,1,0,0,583,583,583,1,0
547,21,-1,0,0,0,0,378,0,0
548,23,1,74.5,0,81.5,232.5,232.5,3,0
549,52,1,0,21.78,0,21.78,232.39,4,0
550,27,-1,0,0,415,415,415,1,0
551,36,-1,15.1,0,0,58.38,162.71,4,0
552,57,1,0,0,0,0,275,0,0
553,21,1,0,0,0,450,450,1,450
554,42,1,0,125,0,125,324,1,0
555,43,1,0,110.67,0,110.67,310.67,1,0
556,42,1,0,0,0,429,429,1,429
557,36,-1,0,62.5,0,118.83,222.5,2,0
558,47,1,0,0,0,0,473,0,0
559,45,-1,0,0,0,0,447.5,0,0
560,37,1,0,0,0,357,357,1,357
561,21,1,0,0,444,444,444,1,0
562,37,1,0,0,484,484,484,1,0
563,32,1,0,329,0,329,329,1,0
564,25,1,42.57,41.71,0,84.29,122,2,0
565,52,1,0,0,0,0,419,0,0
566,6,1,0,0,0,0,0,0,0
567,21,1,0,0,0,409,409,1,409
568,52,-1,0,0,0,0,398,0,0
569,21,1,0,354,0,354,354,1,0
570,21,1,0,0,0,460,460,1,460
571,27,1,0,0,356,356,356,1,0
572,32,1,400,0,0,400,400,1,0
573,46,1,0,0,0,85.4,199.8,2,85.4
574,28,1,0,0,0,191,355,1,191
575,42,1,0,0,0,299,299,1,299
576,27,1,0,0,468,468,468,1,0
577,52,0,20.5,20.63,23.19,111.56,162.5,6,23.06
578,32,1,0,0,0,393,393,1,393
579,47,1,0,0,0,0,0,1,0
580,54,1,0,0,0,66.2,248,1,66.2
581,37,1,0,164,0,164,164,1,0
582,32,1,0,0,427,427,427,1,0
583,38,1,0,0,85.6,85.6,85.6,1,0
584,32,1,0,0,0,371,371,1,371
585,57,1,0,0,0,317,317,1,317
586,31,-1,0,99.2,0,99.2,261,1,0
587,37,1,0,0,0,386,386,1,386
588,29,-1,0,105.25,140.25,245.5,438.75,2,0
589,36,1,0,0,83.5,83.5,328.67,2,0
590,18,1,0,0,110,110,194.33,1,0
591,23,1,0,0,0,113.33,251.33,1,113.33
592,48,-1,0,0,79.6,148,219.2,4,0
593,25,1,0,0,101.5,101.5,316.25,1,0
594,46,1,55.8,0,0,111,111,2,0
595,37,1,311,0,0,311,311,1,0
596,37,-1,0,0,331,331,331,1,0
597,27,1,0,390,0,390,390,1,0
598,42,1,0,0,0,492,492,1,492
599,47,-1,0,0,0,0,352,0,0
600,41,1,0,0,0,0,292.4,0,0
601,33,-1,0,0,0,210.5,383.5,1,210.5
602,37,-1,0,0,0,406,406,1,406
603,34,1,0,124.67,0,124.67,235.33,1,0
604,27,1,0,0,0,292.5,292.5,1,292.5
605,47,-1,0,0,0,0,665,0,0
606,36,-1,0,93,0,93,177.75,3,0
607,27,1,0,0,0,379,379,1,379
608,52,-1,0,0,0,443,443,1,443
609,35,1,91.75,0,0,91.75,308.5,1,0
610,39,1,24.43,0,0,75.36,209.5,3,0
611,42,1,0,343,0,343,343,1,0
612,47,1,0,0,0,356,356,1,356
613,34,1,28.2,26.2,0,54.4,300.27,3,0
614,21,1,0,0,0,428,428,1,428
615,44,1,0,95.75,0,95.75,95.75,4,0
