,PARTICIPANT_ID,EVENT_DATE,EVENT_NAME,EVENT_TYPE,TIME,CATEGORY,GENDER,EVENT_DT,DAY,YEAR,DAY_OF_WEEK,MONTH,ID,LOCATION,LABEL
66,23,2013-11-03,Oka Road Race,10K Marathon,00:56:45,F30-39,F,2013-11-03,3,2013,6,11,66,"OKA, QC",0
67,24,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,04:24:55,M40-44,M,2015-09-20,20,2015,6,9,67,"MONTREAL, QC",1
68,25,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,04:49:20,F50-54,F,2015-09-20,20,2015,6,9,68,"MONTREAL, QC",1
69,25,2015-05-31,COURSE D’ÉTÉ DES ÎLES DE BOUCHERVILLE,10K Marathon,00:52:17,F50-59,F,2015-05-31,31,2015,6,5,69,"BOUCHERVILLE, QC",0
70,25,2014-09-21,La course de Fontainebleau,10K Marathon,00:54:06,F50+,F,2014-09-21,21,2014,6,9,70,"BLAINVILLE, QC",0
71,25,2014-09-21,La course de Fontainebleau,5 km Course,00:26:58,F50+,F,2014-09-21,21,2014,6,9,71,"BLAINVILLE, QC",0
72,25,2014-08-24,La Valse des coureurs,10K Marathon,00:55:44,F50-59,F,2014-08-24,24,2014,6,8,72,"LAVAL, QC",0
73,25,2014-06-01,Course d'ete des iles de Boucherville,10 km (Course),00:54:00,F50-59,F,2014-06-01,1,2014,6,6,73,"BOUCHERVILLE, QC",0
74,26,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,05:46:43,M45-49,M,2015-09-20,20,2015,6,9,74,"MONTREAL, QC",1
75,27,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,03:51:24,M45-49,M,2015-09-20,20,2015,6,9,75,"MONTREAL, QC",1
76,28,2012-09-23,Marathon Oasis de Montreal,Marathon,03:30:40,M40-44,M,2012-09-23,23,2012,6,9,76,"MONTREAL, QC",1
77,29,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,Marathon,04:28:02,M45-49,M,2014-09-28,28,2014,6,9,77,"MONTREAL, QC",1
78,30,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Demi-Marathon,03:17:01,F30-34,F,2015-09-20,20,2015,6,9,78,"MONTREAL, QC",0
79,31,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,03:32:39,M18-24,M,2015-09-20,20,2015,6,9,79,"MONTREAL, QC",1
80,32,2016-08-17,Le 5km Endurance,5K Road Race,00:23:00,F50-59,F,2016-08-17,17,2016,2,8,80,"DOLLARD-DES-ORMEAUX, QC",0
81,32,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,10K Marathon,00:47:22,F55-59,F,2015-09-20,20,2015,6,9,81,"MONTREAL, QC",0
82,33,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,Marathon,06:31:22,M40-44,M,2014-09-28,28,2014,6,9,82,"MONTREAL, QC",1
83,34,2015-10-18,Scotiabank Toronto Waterfront Marathon,Half-Marathon,-1,M35-39,M,2015-10-18,18,2015,6,10,83,"TORONTO, ON",0
84,34,2015-09-20,Army Run - Course de l'Armée,Half-Marathon - Demi-Marathon,01:44:01,M35-39,M,2015-09-20,20,2015,6,9,84,"OTTAWA, ON",0
85,34,2015-05-24,Tamarack Ottawa Race Weekend,Marathon,-1,M35-39,M,2015-05-24,24,2015,6,5,85,"OTTAWA, ON",1
86,34,2015-04-26,Banque Scotia 21K de Montreal,Demi-Marathon,01:43:15,M35-39,M,2015-04-26,26,2015,6,4,86,"MONTREAL, QC",0
87,34,2014-10-19,Scotiabank Toronto Waterfront Marathon,Marathon,03:51:14,M35-39,M,2014-10-19,19,2014,6,10,87,"TORONTO, ON",1
88,34,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,Marathon,04:02:09,M35-39,M,2014-09-28,28,2014,6,9,88,"MONTREAL, QC",1
89,34,2014-06-08,La Grande Viree des Sentiers St-Bruno,20 KM,01:40:58,M30-39,M,2014-06-08,8,2014,6,6,89,ST-BRUNO,0
90,34,2014-04-27,Banque Scotia 21km et 5km,Half-Marathon,01:43:09,M35-39,M,2014-04-27,27,2014,6,4,90,"MONTREAL, QC",0
91,35,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Demi-Marathon,03:00:05,M40-44,M,2015-09-20,20,2015,6,9,91,"MONTREAL, QC",0
92,36,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,-1,M40-44,M,2015-09-20,20,2015,6,9,92,"MONTREAL, QC",1
93,37,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,04:46:16,M30-34,M,2015-09-20,20,2015,6,9,93,"MONTREAL, QC",1
94,38,2016-05-01,Défi course et marche Desjardins Sainte Thérèse,10K Marathon,01:05:46,M40-49,M,2016-05-01,1,2016,6,5,94,ST-TH�R�SE,0
95,38,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Demi-Marathon,01:58:28,M40-44,M,2015-09-20,20,2015,6,9,95,"MONTREAL, QC",0
96,38,2015-08-02,Course MEC Montréal #6,5K Road Race,00:25:46,M40-49,M,2015-08-02,2,2015,6,8,96,"MONTREAL, QC",0
97,38,2015-06-07,Course MEC Montréal #4,5K Road Race,00:32:05,M20-29,M,2015-06-07,7,2015,6,6,97,"MONTREAL, QC",0
98,39,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,05:44:51,F40-44,F,2015-09-20,20,2015,6,9,98,"MONTREAL, QC",1
99,40,2016-07-10,Ironman 70.3 Muskoka,Overall,05:24:59,M30-34,M,2016-07-10,10,2016,6,7,99,"MUSKOKA, ON",0
100,40,2016-06-27,Ironman 70.3 Mont-Tremblant,Individual,05:16:12,M30-34,M,2016-06-27,27,2016,0,6,100,"MONT-TREMBLANT, QC",0
101,40,2015-08-30,Ironman Muskoka,Ironman,11:48:19,M30-34,M,2015-08-30,30,2015,6,8,101,"MUSKOKA, ON",0
102,40,2015-07-26,Ironman Canada,Individual,11:48:33,M30-34,M,2015-07-26,26,2015,6,7,102,"WHISTLER, BC",0
103,40,2015-06-21,Ironman 70.3 Mont-Tremblant,Individual,04:58:25,M30-34,M,2015-06-21,21,2015,6,6,103,"MONT-TREMBLANT, QC",0
104,40,2015-05-24,Tamarack Ottawa Race Weekend,Half-Marathon,-1,M30-34,M,2015-05-24,24,2015,6,5,104,"OTTAWA, ON",0
105,40,2014-08-17,Ironman Mont-Tremblant,Resultats,11:20:10,M30-34,M,2014-08-17,17,2014,6,8,105,"MONT-TREMBLANT, QC",0
106,40,2014-06-22,Ironman Mont-Tremblant 70.3,Overall,05:12:30,M30-34,M,2014-06-22,22,2014,6,6,106,"MONT-TREMBLANT, QC",0
107,40,2014-05-25,Tamarack Ottawa Race Weekend,Half-Marathon,-1,M30-34,M,2014-05-25,25,2014,6,5,107,"OTTAWA, ON",0
108,40,2013-09-22,Marathon Oasis de Montreal,Marathon,03:42:52,M30-34,M,2013-09-22,22,2013,6,9,108,"MONTREAL, QC",1
109,40,2013-09-08,Ironman 70.3 Muskoka,Overall Results,05:51:48,M30-34,M,2013-09-08,8,2013,6,9,109,"MUSKOKA, ON",0
110,40,2013-08-03,National Capital Triathlon Duathlon and Relays,Olympic Triathlon,02:42:40,M30-34,M,2013-08-03,3,2013,5,8,110,"OTTAWA, ON",0
111,40,2013-05-26,Ottawa Race Weekend,Half-Marathon - Demi-Marathon,-1,M30-34,M,2013-05-26,26,2013,6,5,111,"OTTAWA, ON",0
112,40,2013-05-18,Ottawa Early Bird Triathlon and Duathlon,Sprint Triathlon,01:26:48,M30-34,M,2013-05-18,18,2013,5,5,112,"OTTAWA, ON",0
113,40,2012-05-27,Ottawa Race Weekend,Half-Marathon,01:41:20,M30-34,M,2012-05-27,27,2012,6,5,113,"OTTAWA, ON",0
114,41,2012-09-23,Marathon Oasis de Montreal,Marathon,04:24:50,M30-34,M,2012-09-23,23,2012,6,9,114,"MONTREAL, QC",1
115,42,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,Marathon,04:26:50,M40-44,M,2014-09-28,28,2014,6,9,115,"MONTREAL, QC",1
116,43,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,Marathon,03:45:55,M25-29,M,2014-09-28,28,2014,6,9,116,"MONTREAL, QC",1
117,43,2013-06-15,Mud Hero Montreal,6km,00:35:31,M20-24,M,2013-06-15,15,2013,5,6,117,"MONT SAINT-BRUNO, QC",0
118,44,2013-09-22,Marathon Oasis de Montreal,Marathon,04:55:33,M45-49,M,2013-09-22,22,2013,6,9,118,"MONTREAL, QC",1
119,45,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,04:21:33,M45-49,M,2015-09-20,20,2015,6,9,119,"MONTREAL, QC",1
120,46,2016-04-24,Banque Scotia 21K de Montreal,Demi-Marathon,-1,F50-54,F,2016-04-24,24,2016,6,4,120,"MONTREAL, QC",0
121,46,2015-09-27,La course de Fontainebleau,10K Marathon,00:54:34,F50-59,F,2015-09-27,27,2015,6,9,121,"BLAINVILLE, QC",0
122,46,2015-08-12,Le 5km Endurance,5K Road Race,00:27:26,F50-59,F,2015-08-12,12,2015,2,8,122,"DOLLARD-DES-ORMEAUX, QC",0
123,46,2015-05-24,Tamarack Ottawa Race Weekend,Marathon,-1,F50-54,F,2015-05-24,24,2015,6,5,123,"OTTAWA, ON",1
124,46,2015-03-29,Course et marche populaires de LaSalle,5K Road Race,00:26:28,F50-59,F,2015-03-29,29,2015,6,3,124,"LASALLE, QC",0
125,46,2014-10-19,Classique Du Parc La Fontaine,5K Road Race,00:27:58,F50-59,F,2014-10-19,19,2014,6,10,125,"MONTREAL, QC",0
126,46,2014-08-24,La Valse des coureurs,10K Marathon,00:59:15,F50-59,F,2014-08-24,24,2014,6,8,126,"LAVAL, QC",0
127,46,2014-08-13,Le 5km Endurance,5K Road Race,00:27:25,F50-59,F,2014-08-13,13,2014,2,8,127,"DOLLARD-DES-ORMEAUX, QC",0
128,46,2014-05-25,Tamarack Ottawa Race Weekend,Marathon,-1,F50-54,F,2014-05-25,25,2014,6,5,128,"OTTAWA, ON",1
129,46,2014-04-27,Banque Scotia 21km et 5km,Half-Marathon,02:07:08,F50-54,F,2014-04-27,27,2014,6,4,129,"MONTREAL, QC",0
130,46,2014-03-30,Course et marche populaires de LaSalle,10K Marathon,00:59:14,F50-59,F,2014-03-30,30,2014,6,3,130,"LASALLE, QC",0
131,46,2013-09-29,Un pas vers l'espoir,10K Marathon,01:03:43,F50+,F,2013-09-29,29,2013,6,9,131,"BLAINVILLE, QC",0
132,46,2013-09-22,Marathon Oasis de Montreal,Marathon,04:34:25,F50-54,F,2013-09-22,22,2013,6,9,132,"MONTREAL, QC",1
133,46,2013-09-15,La Grande Vadrouille,10K Marathon,00:56:32,F50-59,F,2013-09-15,15,2013,6,9,133,"VAUDREUIL, QC",0
134,46,2013-08-25,La Valse des coureurs,10K Marathon,00:57:02,F50-59,F,2013-08-25,25,2013,6,8,134,"LAVAL, QC",0
135,46,2013-08-14,Le 5km Endurance,5K Road Race,00:27:01,F50-59,F,2013-08-14,14,2013,2,8,135,"DOLLARD-DES-ORMEAUX, QC",0
136,46,2013-08-04,Défi Boréal Sainte-Anne-de-Bellevue,20 KM,02:06:28,F50-59,F,2013-08-04,4,2013,6,8,136,ST-ANNE-DE-BELLEVUE,0
137,46,2013-05-26,Ottawa Race Weekend,Marathon,-1,F50-54,F,2013-05-26,26,2013,6,5,137,"OTTAWA, ON",1
138,46,2013-04-28,Banque Scotia 21km et 5km,Half-Marathon,02:02:30,F50-54,F,2013-04-28,28,2013,6,4,138,"MONTREAL, QC",0
139,46,2013-03-24,Course et marche populaires de LaSalle,10K Marathon,00:56:01,F50-59,F,2013-03-24,24,2013,6,3,139,"LASALLE, QC",0
140,47,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,04:18:21,F30-34,F,2015-09-20,20,2015,6,9,140,"MONTREAL, QC",1
141,48,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,Marathon,04:23:30,M60-64,M,2014-09-28,28,2014,6,9,141,"MONTREAL, QC",1
142,48,2014-08-03,Défi Boréal Sainte-Anne-de-Bellevue,20 KM,01:48:44,M60-69,M,2014-08-03,3,2014,6,8,142,ST-ANNE-DE-BELLEVUE,0
143,48,2014-04-13,Course Saint-Laurent,10K Marathon,00:50:14,M60-69,M,2014-04-13,13,2014,6,4,143,"ST-LAURENT, QC",0
144,48,2013-10-06,Classique Du Parc La Fontaine,10K Marathon,00:49:20,M60-69,M,2013-10-06,6,2013,6,10,144,"MONTREAL, QC",0
145,48,2013-04-14,Course Saint-Laurent,10K Marathon,00:51:38,M60-69,M,2013-04-14,14,2013,6,4,145,"ST-LAURENT, QC",0
146,49,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,04:31:04,M40-44,M,2015-09-20,20,2015,6,9,146,"MONTREAL, QC",1
147,50,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,06:53:51,M45-49,M,2015-09-20,20,2015,6,9,147,"MONTREAL, QC",1
148,51,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,05:19:55,F25-29,F,2015-09-20,20,2015,6,9,148,"MONTREAL, QC",1
149,52,2013-06-29,Tupper Lake Tinman Triathlon,Tinman Triathlon,05:22:47,M25-29,M,2013-06-29,29,2013,5,6,149,"TUPPER LAKE, NY",0
150,52,2013-02-17,Winterman Marathon and Marathon Relays,Half-Marathon,01:34:31,M25-29,M,2013-02-17,17,2013,6,2,150,"OTTAWA, ON",0
151,52,2012-12-02,Ri Ra Santa 5K,5km Run/Walk,00:36:53,M25-29,M,2012-12-02,2,2012,6,12,151,"BURLINGTON, VT",0
152,52,2012-09-23,Marathon Oasis de Montreal,Marathon,03:14:23,M25-29,M,2012-09-23,23,2012,6,9,152,"MONTREAL, QC",1
153,52,2012-09-08,Triathlon Esprit de Montreal,Triathlon Olympique,02:36:27,M25-29,M,2012-09-08,8,2012,5,9,153,"MONTREAL, QC",0
154,53,2016-04-24,Banque Scotia 21K de Montreal,Demi-Marathon,-1,M30-34,M,2016-04-24,24,2016,6,4,154,"MONTREAL, QC",0
155,53,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,Demi-Marathon,01:46:22,M30-34,M,2014-09-28,28,2014,6,9,155,"MONTREAL, QC",0
156,53,2014-05-25,Tamarack Ottawa Race Weekend,Half-Marathon,-1,M30-34,M,2014-05-25,25,2014,6,5,156,"OTTAWA, ON",0
157,53,2013-09-22,Marathon Oasis de Montreal,Marathon,04:16:56,M30-34,M,2013-09-22,22,2013,6,9,157,"MONTREAL, QC",1
158,53,2013-04-28,Banque Scotia 21km et 5km,Half-Marathon,01:59:52,M30-34,M,2013-04-28,28,2013,6,4,158,"MONTREAL, QC",0
159,53,2012-10-14,Scotiabank Toronto Waterfront Marathon,Half-Marathon,01:37:36,M30-34,M,2012-10-14,14,2012,6,10,159,"TORONTO, ON",0
160,53,2012-06-16,Tour du Lac Brome,"22,2 Km Chemin de Campagne",02:15:26,M30-39,M,2012-06-16,16,2012,5,6,160,"LAC-BROME, QC",0
161,53,2012-04-29,Banque Scotia 21km et 5km,21.1 KM,01:58:34,M30-34,M,2012-04-29,29,2012,6,4,161,"MONTREAL, QC",0
162,54,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,06:34:13,F35-39,F,2015-09-20,20,2015,6,9,162,"MONTREAL, QC",1
163,55,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,Marathon,06:50:23,F30-34,F,2014-09-28,28,2014,6,9,163,"MONTREAL, QC",1
164,56,2016-06-19,Ironman 70.3 Syracuse,Overall,05:48:46,M30-34,M,2016-06-19,19,2016,6,6,164,"SYRACUSE, NY",0
165,56,2016-06-05,Triathlon Challenge Antoine-Manseau Joliette,Triathlon sprint AG Ouvert,01:16:58,M30-34,M,2016-06-05,5,2016,6,6,165,"JOLIETTE, QC",0
166,56,2013-09-22,Marathon Oasis de Montreal,Marathon,03:25:47,M25-29,M,2013-09-22,22,2013,6,9,166,"MONTREAL, QC",1
167,57,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,03:45:55,M30-34,M,2015-09-20,20,2015,6,9,167,"MONTREAL, QC",1
168,58,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,Marathon,04:32:51,F25-29,F,2014-09-28,28,2014,6,9,168,"MONTREAL, QC",1
169,59,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,Marathon,04:10:03,M25-29,M,2014-09-28,28,2014,6,9,169,"MONTREAL, QC",1
170,59,2014-06-28,Demi Marathon de Sherbrooke,Demi-Marathon,01:46:40,M20-29,M,2014-06-28,28,2014,5,6,170,"SHERBROOKE, QC",0
171,60,2012-09-23,Marathon Oasis de Montreal,Marathon,03:46:04,M30-34,M,2012-09-23,23,2012,6,9,171,"MONTREAL, QC",1
