,PARTICIPANT_ID,EVENT_DATE,EVENT_NAME,EVENT_TYPE,TIME,CATEGORY
0,22,2013-09-22,Marathon Oasis de Montreal,Marathon,04:04:29,F25-29
0,23,2015-11-08,DEMI-MARATHON DES MICROBRASSERIES,10 KM,01:11:43,F30-39
0,23,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Demi-Marathon,02:08:05,F35-39
0,23,2014-11-02,Course d'Oka Race,21.1 KM,02:06:28,F30-39
0,23,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,Marathon,05:56:53,F35-39
0,25,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,04:49:20,F50-54
0,25,2015-05-31,COURSE D’ÉTÉ DES ÎLES DE BOUCHERVILLE,10km Course,00:52:17,F50-59
0,25,2014-09-21,La course de Fontainebleau,10 KM,00:54:06,F50+
0,25,2014-09-21,La course de Fontainebleau,5 km Course,00:26:58,F50+
0,25,2014-08-24,La Valse des coureurs,10 KM,00:55:44,F50-59
0,32,2016-08-17,Le 5km Endurance,5 KM,00:23:00,F50-59
0,34,2015-10-18,Scotiabank Toronto Waterfront Marathon,Half Marathon,-1,M35-39
0,34,2015-09-20,Army Run - Course de l'Armée,1/2 Marathon - Demi-marathon,01:44:01,M35-39
0,34,2015-05-24,Tamarack Ottawa Race Weekend,Ottawa Marathon,-1,M35-39
0,34,2015-04-26,Banque Scotia 21K de Montreal,Demi-Marathon,01:43:15,M35-39
0,34,2014-10-19,Scotiabank Toronto Waterfront Marathon,Marathon,03:51:14,M35-39
0,34,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,Marathon,04:02:09,M35-39
0,34,2014-06-08,La Grande Viree des Sentiers St-Bruno,20 KM,01:40:58,M30-39
0,38,2016-05-01,Défi course et marche Desjardins Sainte Thérèse,10 KM,01:05:46,M40-49
0,38,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Demi-Marathon,01:58:28,M40-44
0,38,2015-08-02,Course MEC Montréal #6,5 KM,00:25:46,M40-49
0,40,2016-07-10,Ironman 70.3 Muskoka,Overall,05:24:59,M30-34
0,40,2016-06-27,Ironman 70.3 Mont-Tremblant,Individuel,05:16:12,M30-34
0,40,2015-08-30,Ironman Muskoka,Ironman,11:48:19,M30-34
0,40,2015-07-26,Ironman Canada,Individual,11:48:33,M30-34
0,40,2015-06-21,Ironman 70.3 Mont-Tremblant,Individuel,04:58:25,M30-34
0,40,2015-05-24,Tamarack Ottawa Race Weekend,Ottawa Half Marathon,-1,M30-34
0,40,2014-08-17,Ironman Mont-Tremblant,Resultats,11:20:10,M30-34
0,40,2014-06-22,Ironman Mont-Tremblant 70.3,Overall,05:12:30,M30-34
0,40,2014-05-25,Tamarack Ottawa Race Weekend,Scotiabank Ottawa Half Marathon,-1,M30-34
0,40,2013-09-22,Marathon Oasis de Montreal,Marathon,03:42:52,M30-34
0,40,2013-09-08,Ironman 70.3 Muskoka,Overall Results,05:51:48,M30-34
0,40,2013-08-03,National Capital Triathlon Duathlon and Relays,Olympic Triathlon,02:42:40,M30-34
0,40,2013-05-26,Ottawa Race Weekend,Ottawa Half-Marathon - Demi-marathon,-1,M30-34
0,40,2013-05-18,Ottawa Early Bird Triathlon and Duathlon,Sprint Triathlon,01:26:48,M30-34
0,43,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,Marathon,03:45:55,M25-29
0,46,2016-04-24,Banque Scotia 21K de Montreal,Demi-Marathon,-1,F50-54
0,46,2015-09-27,La course de Fontainebleau,10 KM,00:54:34,F50-59
0,46,2015-08-12,Le 5km Endurance,5 KM,00:27:26,F50-59
0,46,2015-05-24,Tamarack Ottawa Race Weekend,Ottawa Marathon,-1,F50-54
0,46,2015-03-29,Course et marche populaires de LaSalle,5 KM,00:26:28,F50-59
0,46,2014-10-19,Classique Du Parc La Fontaine,5 KM,00:27:58,F50-59
0,46,2014-08-24,La Valse des coureurs,10 KM,00:59:15,F50-59
0,46,2014-08-13,Le 5km Endurance,5 KM,00:27:25,F50-59
0,46,2014-05-25,Tamarack Ottawa Race Weekend,Scotiabank Ottawa Marathon,-1,F50-54
0,46,2014-04-27,Banque Scotia 21km et 5km,21 KM,02:07:08,F50-54
0,46,2014-03-30,Course et marche populaires de LaSalle,10 KM,00:59:14,F50-59
0,46,2013-09-29,Un pas vers l'espoir,10 KM,01:03:43,F50+
0,46,2013-09-22,Marathon Oasis de Montreal,Marathon,04:34:25,F50-54
0,46,2013-09-15,La Grande Vadrouille,10 KM,00:56:32,F50-59
0,46,2013-08-25,La Valse des coureurs,10 KM,00:57:02,F50-59
0,46,2013-08-14,Le 5km Endurance,5 KM,00:27:01,F50-59
0,46,2013-08-04,Défi Boréal Sainte-Anne-de-Bellevue,20 KM,02:06:28,F50-59
0,46,2013-05-26,Ottawa Race Weekend,Ottawa Marathon,-1,F50-54
0,46,2013-04-28,Banque Scotia 21km et 5km,21 KM,02:02:30,F50-54
0,48,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,Marathon,04:23:30,M60-64
0,48,2014-08-03,Défi Boréal Sainte-Anne-de-Bellevue,20 KM,01:48:44,M60-69
0,48,2014-04-13,Course Saint-Laurent,10 KM,00:50:14,M60-69
0,48,2013-10-06,Classique Du Parc La Fontaine,10 KM,00:49:20,M60-69
0,52,2013-06-29,Tupper Lake Tinman Triathlon,Tinman Triathlon,05:22:47,M25-29
0,52,2013-02-17,Winterman Marathon and Marathon Relays,Half Marathon,01:34:31,M25-29
0,52,2012-12-02,Ri Ra Santa 5K,5km Run/Walk,00:36:53,M25-29
0,52,2012-09-23,Marathon Oasis de Montreal,Marathon,03:14:23,M25-29
0,53,2016-04-24,Banque Scotia 21K de Montreal,Demi-Marathon,-1,M30-34
0,53,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,Demi-Marathon,01:46:22,M30-34
0,53,2014-05-25,Tamarack Ottawa Race Weekend,Scotiabank Ottawa Half Marathon,-1,M30-34
0,53,2013-09-22,Marathon Oasis de Montreal,Marathon,04:16:56,M30-34
0,53,2013-04-28,Banque Scotia 21km et 5km,21 KM,01:59:52,M30-34
0,53,2012-10-14,Scotiabank Toronto Waterfront Marathon,Half Marathon,01:37:36,M30-34
0,53,2012-06-16,Tour du Lac Brome,"22,2 Km Chemin de Campagne",02:15:26,M30-39
0,56,2016-06-19,Ironman 70.3 Syracuse,Overall,05:48:46,M30-34
0,56,2016-06-05,Triathlon Challenge Antoine-Manseau Joliette,Triathlon sprint AG Ouvert,01:16:58,M30-34
0,59,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,Marathon,04:10:03,M25-29
0,61,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,Marathon,03:49:07,M25-29
0,61,2013-09-22,Marathon Oasis de Montreal,Marathon,03:47:05,M25-29
0,64,2014-04-27,Banque Scotia 21km et 5km,21 KM,01:36:54,M35-39
0,64,2013-06-16,Tour du Lac Brome,10 Km Route,00:46:32,M30-39
0,65,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,Marathon,03:38:44,M45-49
0,65,2014-04-27,Banque Scotia 21km et 5km,21 KM,01:49:19,M45-49
0,65,2014-03-30,Course et marche populaires de LaSalle,5 KM,00:24:14,M50-59
0,65,2013-09-22,Marathon Oasis de Montreal,Demi-Marathon,01:49:40,M45-49
0,66,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Demi-Marathon,01:43:26,M50-54
0,66,2015-06-13,Triathlon FBL Drummondville,Triathlon Sprint,01:33:39,M50-54
0,66,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,Marathon,03:37:51,M45-49
0,66,2014-04-27,Banque Scotia 21km et 5km,21 KM,01:34:03,M45-49
0,66,2013-09-22,Marathon Oasis de Montreal,Marathon,03:33:35,M45-49
0,66,2013-05-26,Ottawa Race Weekend,Ottawa Marathon,-1,M45-49
0,66,2012-09-23,Marathon Oasis de Montreal,Marathon,03:32:19,M45-49
0,66,2012-08-05,Défi Boréal Sainte-Anne-de-Bellevue,20 KM,01:35:12,M40-49
0,69,2013-08-10,SeaWheeze Half Marathon,Half Marathon,01:40:29,MALE
0,72,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Demi-Marathon,02:26:44,F35-39
0,75,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,03:45:33,M35-39
0,76,2016-06-19,Courses Thematiques Tour du Lac Brome Merrell,20 KM,01:50:18,NO AGE
0,77,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Demi-Marathon,01:50:23,F50-54
0,81,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,Marathon,-1,M30-34
0,84,2014-09-06,Triathlon Esprit de Montreal,Demi Esprit,05:52:14,F25-29
0,84,2013-09-22,Marathon Oasis de Montreal,Demi-Marathon,01:48:30,F25-29
0,84,2012-09-23,Marathon Oasis de Montreal,Marathon,03:57:08,F25-29
0,84,2012-07-22,Triathlon Trimemphre de Magog,Triathlon Olympique,04:23:32,F25-29
0,85,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,Marathon,05:11:54,M50-54
0,87,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,10 KM,01:07:35,F35-39
0,92,2015-04-26,Banque Scotia 21K de Montreal,Demi-Marathon,02:09:49,M45-49
0,92,2014-04-27,Banque Scotia 21km et 5km,21 KM,02:00:40,M45-49
0,92,2014-03-30,Course et marche populaires de LaSalle,10 KM,01:11:50,M40-49
0,92,2014-02-16,Demi Marathon Hypothermique,Demi-Marathon,02:16:57,M40-49
0,93,2014-08-24,Marathon SSQ Lévis-Québec,Marathon,-1,M50-59
0,95,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,10 KM,01:22:27,F30-34
0,96,2015-09-20,Army Run - Course de l'Armée,5 KM,00:37:58,M55-59
0,96,2014-09-21,Army Run - Course de l'Armée,Half Marathon - Demi Marathon,02:20:45,M50-54
0,96,2014-05-25,Tamarack Ottawa Race Weekend,Scotiabank Ottawa Marathon,-1,M50-54
0,96,2013-09-22,Marathon Oasis de Montreal,Marathon,04:55:41,M50-54
0,96,2012-10-20,9 Run Run,Half Marathon,02:04:13,M50-54
0,96,2012-05-27,Ottawa Race Weekend,Marathon,04:53:57,M50-54
0,99,2016-04-30,Marathon des Érables,Marathon,05:03:16,M30-39
0,100,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Demi-Marathon,02:17:29,F45-49
0,100,2013-09-22,Marathon Oasis de Montreal,Demi-Marathon,02:00:24,F40-44
0,100,2013-05-26,Ottawa Race Weekend,Ottawa Half-Marathon - Demi-marathon,-1,F40-44
0,103,2015-10-03,Cross-Country Saint-Laurent Select,6km,00:27:30,M30-39
0,103,2015-05-24,Tamarack Ottawa Race Weekend,Ottawa Half Marathon,-1,M30-34
0,103,2013-09-22,Marathon Oasis de Montreal,Marathon,03:47:11,M30-34
0,103,2013-07-06,Course du Festival Champetre de Saint-Thecle,10 KM,00:48:18,M30-39
0,104,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,Marathon,05:06:59,F45-49
0,104,2014-09-07,Coupe Dix30,30 km,02:48:19,F40-49
0,104,2014-08-13,Le 5km Endurance,5 KM,00:24:15,F40-49
0,104,2014-05-25,Tamarack Ottawa Race Weekend,Scotiabank Ottawa Marathon,-1,F45-49
0,104,2014-03-30,Around the Bay Road Races,30 km,02:55:54,F45-49
0,104,2013-11-03,Oka Road Race,Half Marathon,01:54:01,F40-49
0,105,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,Marathon,06:02:47,F25-29
0,105,2013-09-22,Marathon Oasis de Montreal,Demi-Marathon,01:59:19,F25-29
0,106,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,Marathon,06:00:56,F18-24
0,106,2014-04-27,Banque Scotia 21km et 5km,21 KM,01:59:53,F20-24
0,106,2013-04-28,Banque Scotia 21km et 5km,21 KM,02:10:50,F20-24
0,109,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Demi-Marathon,01:52:00,M50-54
0,114,2015-05-24,Tamarack Ottawa Race Weekend,Ottawa Marathon,-1,M45-49
0,114,2014-05-25,Tamarack Ottawa Race Weekend,Scotiabank Ottawa Marathon,-1,M45-49
0,114,2013-09-22,Marathon Oasis de Montreal,Demi-Marathon,01:46:07,M40-44
0,114,2013-06-16,Tour du Lac Brome,20 KM,01:36:24,M40-49
0,114,2013-05-26,Ottawa Race Weekend,Ottawa Half-Marathon - Demi-marathon,-1,M40-44
0,114,2013-04-28,Banque Scotia 21km et 5km,21 KM,01:45:45,M40-44
0,114,2013-03-24,Course et marche populaires de LaSalle,5 KM,00:20:57,M40-49
0,114,2013-02-17,Demi Marathon Hypothermique,Demi-Marathon,01:43:24,M40-49
0,114,2012-10-14,Classique Du Parc La Fontaine,10 KM,00:45:25,M40-49
0,114,2012-09-23,Marathon Oasis de Montreal,Marathon,04:19:04,M40-44
0,114,2012-09-09,Demi-Marathon Granby,Demi-Marathon,01:48:36,M40-49
0,114,2012-06-17,Tour du Lac Brome,20 KM,01:58:58,M40-49
0,114,2012-04-22,Course Saint-Laurent,5 KM,00:24:57,M40-49
0,117,2016-07-15,Demi-Marathon de la Bande du Canal,5 KM,-1,M40-49
0,117,2016-04-30,Marathon des Érables,30 km,03:16:18,M40-49
0,117,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,05:40:50,M40-44
0,120,2016-05-08,DÉFI GÉRARD-CÔTÉ,5 km Course/Marche,00:35:51,F30-39
0,120,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,Marathon,06:37:08,F30-34
0,121,2016-06-25,Mud Hero Montreal,6km Obstacle Course,01:15:57,M40-44
0,121,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,Demi-Marathon,02:26:14,M30-34
0,121,2014-05-25,Tamarack Ottawa Race Weekend,Scotiabank Ottawa Half Marathon,-1,M30-34
0,121,2013-09-22,Marathon Oasis de Montreal,Marathon,04:26:23,M30-34
0,121,2012-09-23,Marathon Oasis de Montreal,Demi-Marathon,01:56:50,M25-29
0,122,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,10 KM,00:48:48,M30-34
0,122,2013-09-22,Marathon Oasis de Montreal,Marathon,04:03:19,M25-29
0,122,2013-08-25,Marathon des Deux Rives Lévis-Québec,Demi-Marathon,01:46:05,M20-29
0,122,2013-06-16,Tour du Lac Brome,20 KM,02:01:14,M20-29
0,122,2013-05-12,Defi Gerard Cote de St-Hyacinthe,10 KM,00:49:43,M20-29
0,124,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,04:07:51,F45-49
0,125,2013-09-22,Marathon Oasis de Montreal,Marathon,03:39:01,M35-39
0,127,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,Marathon,04:39:54,M55-59
0,128,2013-09-22,Marathon Oasis de Montreal,Marathon,04:23:32,F18-24
0,128,2012-09-23,Marathon Oasis de Montreal,Demi-Marathon,01:47:38,F18-24
0,129,2016-09-11,Triathlon Esprit de Montreal,Triathlon Olympique,-1,M45-49
0,129,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,04:04:03,M45-49
0,129,2015-05-24,Tamarack Ottawa Race Weekend,Ottawa Marathon,-1,M45-49
0,129,2014-06-22,Ironman Mont-Tremblant 70.3,Overall,06:08:31,M45-49
0,132,2016-05-08,Au rythme de nos foulées Châteauguay,Demi-Marathon,02:12:25,F50-59
0,132,2016-02-21,Défi Hivernal Ile Bizard,10 KM,00:57:45,F50-59
0,132,2015-09-06,30 km sur les rives de Boucherville,15 km,01:34:39,F50-59
0,132,2014-08-10,Great Raisin River Footrace,5 KM,00:26:54,F50-54
0,132,2014-06-14,Tour du Lac Brome,22.2 km chemin de campagne,02:24:01,F50-59
0,132,2014-04-26,"Run to end MS Half-Marathon, 5km and 10km",Half-Marathon,02:05:11,F50-59
0,132,2014-03-30,Around the Bay Road Races,30 km,03:21:28,F50-54
0,132,2013-09-22,Marathon Oasis de Montreal,Marathon,04:39:43,F50-54
0,132,2013-06-02,Beat Beethoven 8 Km Run,8 km,00:45:04,F50-59
0,132,2013-04-27,"Run to end MS Half-Marathon, 5km and 10km",Half Marathon,02:07:02,F50-59
0,132,2013-02-17,Winterman Marathon and Marathon Relays,Half Marathon,02:17:02,F50-54
0,132,2012-08-05,Défi Boréal Sainte-Anne-de-Bellevue,10 KM,01:07:16,F50-59
0,132,2012-06-17,Manitoba Marathon,Marathon,-1,F50-54
0,132,2012-06-03,Beat Beethoven 8 Km Run,8 km,00:45:36,F50-59
0,132,2012-04-28,"Run to end MS Half-Marathon, 5km and 10km",5 KM,00:30:47,F50-59
0,137,2016-08-21,Vert le Raid - XC de la Vallee,21 KM,03:50:00,M30-39
0,137,2016-05-29,Tamarack Ottawa Race Weekend,Ottawa Half Marathon,-1,M35-39
0,137,2015-10-04,Demi-marathon de Granby,21 km - course,01:43:03,M30-39
0,137,2015-08-16,DEMI-MARATHON DES VERGERS,15 km,01:26:28,M30-39
0,137,2015-05-24,Tamarack Ottawa Race Weekend,Ottawa Half Marathon,-1,M35-39
0,137,2014-09-14,Demi-marathon Granby,Demi Marathon Course,01:46:27,M30-39
0,137,2014-05-25,Tamarack Ottawa Race Weekend,Scotiabank Ottawa Half Marathon,-1,M35-39
0,137,2013-09-22,Marathon Oasis de Montreal,Marathon,04:11:09,M35-39
0,137,2013-05-26,Ottawa Race Weekend,Ottawa Half-Marathon - Demi-marathon,-1,M35-39
0,137,2012-09-23,Marathon Oasis de Montreal,Demi-Marathon,01:45:46,M30-34
0,140,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,04:33:01,F40-44
0,140,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,Marathon,04:43:22,F35-39
0,140,2013-11-03,Oka Road Race,Half Marathon,01:43:06,F30-39
0,140,2013-09-22,Marathon Oasis de Montreal,Marathon,03:50:13,F35-39
0,140,2013-06-09,Defi Deux-Montagnes,10 KM,00:47:52,F30-39
0,140,2013-05-26,Ottawa Race Weekend,Ottawa Marathon,-1,F35-39
0,140,2013-04-21,Course Printaniere Oka,"21,1 km Course",01:44:24,F 30-39
0,140,2012-09-23,Marathon Oasis de Montreal,Marathon,04:07:59,F35-39
0,141,2012-09-23,Marathon Oasis de Montreal,Marathon,04:18:31,M45-49
0,142,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,Marathon,05:08:05,F35-39
0,142,2014-05-31,Defi Physio Extra de Terrebonne,5 KM,00:38:08,F30-39
0,145,2014-10-12,Ottawa Fall Colours Marathon Events,Full Marathon,03:31:50,M30-34
0,145,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,Marathon,04:54:39,M30-34
0,145,2013-10-20,Scotiabank Toronto Waterfront Marathon,Marathon,03:21:19,M30-34
0,145,2013-05-26,Ottawa Race Weekend,Ottawa Marathon,-1,M30-34
0,145,2012-06-17,Tour du Lac Brome,20 KM,02:00:14,M30-39
0,145,2012-04-29,Banque Scotia 21km et 5km,21.1 KM,01:42:05,M30-34
0,148,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,04:57:54,M50-54
0,148,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,Demi-Marathon,02:42:26,M45-49
0,152,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,03:38:36,F18-24
0,153,2015-05-03,Demi-marathon international Oasis de Lévis,Demi-Marathon,-1,M40-49
0,154,2016-06-18,Tour du Cap Tourmente Simard,21.1 KM,02:06:59,M30-39
0,156,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Demi-Marathon,02:34:39,F40-44
0,157,2016-03-20,Course et marche populaires de LaSalle,10 KM,00:43:34,M40-49
0,157,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Demi-Marathon,01:39:04,M45-49
0,157,2014-10-19,Classique Du Parc La Fontaine,10 KM,00:44:07,M40-49
0,157,2014-09-06,Triathlon Esprit de Montreal,Triathlon Olympique,-1,M45-49
0,157,2014-06-15,La Foulee des Parcs,10 KM,00:41:20,M40-49
0,157,2014-06-08,Triathlon / Duathlon Mont-Tremblant,Ironman 5150- Triathlon Olympique,02:46:27,M40-49
0,157,2014-05-03,Mississauga Marathon Races,10 KM,00:39:53,M40-49
0,157,2013-10-06,Classique Du Parc La Fontaine,10 KM,00:39:51,M40-49
0,157,2013-09-22,Marathon Oasis de Montreal,Marathon,03:39:36,M45-49
0,157,2013-09-14,Cyclo La* Montrealaise,90 km,03:42:51,M45-49
0,157,2013-09-07,Triathlon Esprit de Montreal,Triathlon Olympique,02:31:24,M45-49
0,157,2013-08-11,Granfondo Garneau-Cascades,110 km,03:55:39,M40-49
0,157,2013-05-26,Ottawa Race Weekend,Ottawa Marathon,-1,M45-49
0,157,2013-04-28,Banque Scotia 21km et 5km,21 KM,01:30:21,M45-49
0,157,2012-10-14,Classique Du Parc La Fontaine,10 KM,00:40:02,M40-49
0,157,2012-09-23,Marathon Oasis de Montreal,Marathon,03:19:54,M45-49
0,157,2012-06-16,Tour du Lac Brome,"22,2 Km Chemin de Campagne",01:46:42,M40-49
0,158,2015-11-08,DEMI-MARATHON DES MICROBRASSERIES,10 KM,00:59:55,M30-39
0,161,2015-06-27,Toughman Tupper Lake Tinman,Sprint Triathlon,02:15:54,F20-29
0,162,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Demi-Marathon,02:58:49,F35-39
0,162,2013-09-22,Marathon Oasis de Montreal,Marathon,04:37:23,F35-39
0,162,2013-05-12,Bonjour Printemps,Demi-Marathon,02:03:20,F30-39
0,162,2012-09-23,Marathon Oasis de Montreal,Marathon,04:31:30,F30-34
0,165,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,Marathon,04:33:44,M30-34
0,168,2014-02-16,Demi Marathon Hypothermique,Demi-Marathon,02:46:41,M40-49
0,168,2012-09-23,Marathon Oasis de Montreal,Marathon,04:32:31,M40-44
0,170,2016-06-25,Toughman Tupper Lake Tinman,Sprint Triathlon,01:30:51,M30-39
0,170,2014-10-19,Classique Du Parc La Fontaine,10 KM,00:50:26,M30-39
0,170,2014-10-05,Marathon de Rimouski,Demi-Marathon,01:47:21,M30-39
0,170,2013-09-22,Marathon Oasis de Montreal,Demi-Marathon,01:59:09,M30-34
0,170,2012-09-23,Marathon Oasis de Montreal,Marathon,03:57:49,M25-29
0,170,2012-06-17,Tour du Lac Brome,20 KM,01:44:17,M30-39
0,170,2012-05-26,Defi Memphre,10 KM,00:47:49,M20-29
0,171,2013-09-22,Marathon Oasis de Montreal,Marathon,04:15:35,M50-54
0,171,2013-04-28,Banque Scotia 21km et 5km,21 KM,01:50:56,M50-54
0,172,2013-09-22,Marathon Oasis de Montreal,Marathon,02:57:55,M35-39
0,172,2013-06-23,Ironman Mont-Tremblant 70.3,70.3 Results,05:22:46,M35-39
0,172,2013-05-19,Duathlon Sorel-Tracy,Competitif,01:33:42,M30-39
0,172,2013-04-28,Banque Scotia 21km et 5km,21 KM,01:23:47,M35-39
0,172,2013-04-14,Course Saint-Laurent,10 KM,00:37:29,M30-39
0,172,2013-03-24,Course et marche populaires de LaSalle,5 KM,00:17:58,M30-39
0,172,2013-02-17,Demi Marathon Hypothermique,Demi-Marathon,01:29:33,M30-39
0,172,2012-10-14,Classique Du Parc La Fontaine,10 KM,00:40:31,M30-39
0,172,2012-09-23,Marathon Oasis de Montreal,Demi-Marathon,01:25:29,M35-39
0,172,2012-09-08,Triathlon Esprit de Montreal,Triathlon Olympique,02:31:14,M35-39
0,172,2012-08-26,Triathlon de Valleyfield,Triathlon Olympique,02:35:38,M35-39
0,172,2012-08-12,Triathlon de Verdun,Triathlon Sprint,01:25:27,M35-39
0,172,2012-07-14,Triathlon St-Lambert,Triathlon Sprint,01:15:55,M35-39
0,172,2012-06-09,Triathlon / Duathlon Mont-Tremblant,Triathlon Sprint,01:30:38,M30-39
0,172,2012-04-29,Banque Scotia 21km et 5km,21.1 KM,01:38:20,M30-34
