PARTICIPANT_ID,EVENT_DATE,EVENT_NAME,EVENT_TYPE,TIME,CATEGORY,GENDER,EVENT_DT,DAY,YEAR,DAY_OF_WEEK,MONTH,ID,LOCATION,LABEL,EveTyp,Age1,Age2,AvgAge,Distance,TimePerKm,TimeInSeconds
7358,22-09-2013,Marathon Oasis de Montreal,Marathon,03:39:45,M40-44,M,22-09-2013,22,2013,6,9,NULL,MONTREAL QC,1,6,40,44,42,42,313,13185
7358,23-09-2012,Marathon Oasis de Montreal,Marathon,03:51:27,M40-44,M,23-09-2012,23,2012,6,9,NULL,MONTREAL QC,1,6,40,44,42,42,330,13887
7359,28-09-2014,Marathon Oasis Rock â€˜nâ€™ Roll de MontrÃ©al,Marathon,04:35:03,M18-24,M,28-09-2014,28,2014,6,9,NULL,MONTREAL QC,1,6,18,24,21,42,392,16503
7360,22-09-2013,Marathon Oasis de Montreal,Marathon,04:14:20,M55-59,M,22-09-2013,22,2013,6,9,NULL,MONTREAL QC,1,6,55,59,57,42,363,15260
7361,22-09-2013,Marathon Oasis de Montreal,Marathon,03:38:38,M40-44,M,22-09-2013,22,2013,6,9,NULL,MONTREAL QC,1,6,40,44,42,42,312,13118
7362,23-09-2012,Marathon Oasis de Montreal,Marathon,04:26:03,M18-24,M,23-09-2012,23,2012,6,9,NULL,MONTREAL QC,1,6,18,24,21,42,380,15963
7363,20-09-2015,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,-1,M18-24,M,20-09-2015,20,2015,6,9,NULL,MONTREAL QC,1,6,18,24,21,42,0,0
7364,20-09-2015,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,05:42:47,F25-29,F,20-09-2015,20,2015,6,9,NULL,MONTREAL QC,1,6,25,29,27,42,489,20567
7365,20-09-2015,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,04:53:55,M40-44,M,20-09-2015,20,2015,6,9,NULL,MONTREAL QC,1,6,40,44,42,42,419,17635
7366,23-09-2012,Marathon Oasis de Montreal,Marathon,04:10:32,M18-24,M,23-09-2012,23,2012,6,9,NULL,MONTREAL QC,1,6,18,24,21,42,357,15032
7367,20-09-2015,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,03:39:00,M35-39,M,20-09-2015,20,2015,6,9,NULL,MONTREAL QC,1,6,35,39,37,42,312,13140
7369,28-09-2014,Marathon Oasis Rock â€˜nâ€™ Roll de MontrÃ©al,Marathon,04:37:27,F35-39,F,28-09-2014,28,2014,6,9,NULL,MONTREAL QC,1,6,35,39,37,42,396,16647
7369,25-08-2013,Marathon des Deux Rives LÃ©vis-QuÃ©bec,Marathon,04:10:29,F30-39,F,25-08-2013,25,2013,6,8,NULL,QUEBEC QC,1,5,30,39,34,42,357,15029
7369,26-08-2012,Marathon des Deux Rives LÃ©vis-QuÃ©bec,Marathon,04:44:11,F30-39,F,26-08-2012,26,2012,6,8,NULL,QUEBEC QC,1,5,30,39,34,42,405,17051
7370,23-09-2012,Marathon Oasis de Montreal,Marathon,03:51:34,F25-29,F,23-09-2012,23,2012,6,9,NULL,MONTREAL QC,1,6,25,29,27,42,330,13894
7371,23-09-2012,Marathon Oasis de Montreal,Marathon,04:32:07,M40-44,M,23-09-2012,23,2012,6,9,NULL,MONTREAL QC,1,6,40,44,42,42,388,16327
7373,20-09-2015,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,04:24:31,M55-59,M,20-09-2015,20,2015,6,9,NULL,MONTREAL QC,1,6,55,59,57,42,377,15871
7373,22-09-2013,Marathon Oasis de Montreal,Marathon,03:52:43,M55-59,M,22-09-2013,22,2013,6,9,NULL,MONTREAL QC,1,6,55,59,57,42,332,13963
7375,28-09-2014,Marathon Oasis Rock â€˜nâ€™ Roll de MontrÃ©al,Marathon,04:07:39,M45-49,M,28-09-2014,28,2014,6,9,NULL,MONTREAL QC,1,6,45,49,47,42,353,14859
7375,22-09-2013,Marathon Oasis de Montreal,Marathon,03:21:24,M45-49,M,22-09-2013,22,2013,6,9,NULL,MONTREAL QC,1,6,45,49,47,42,287,12084
7376,23-09-2012,Marathon Oasis de Montreal,Marathon,04:13:16,F40-44,F,23-09-2012,23,2012,6,9,NULL,MONTREAL QC,1,6,40,44,42,42,361,15196
7377,20-09-2015,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,03:45:22,M25-29,M,20-09-2015,20,2015,6,9,NULL,MONTREAL QC,1,6,25,29,27,42,321,13522
7378,28-09-2014,Marathon Oasis Rock â€˜nâ€™ Roll de MontrÃ©al,Marathon,05:13:15,M55-59,M,28-09-2014,28,2014,6,9,NULL,MONTREAL QC,1,6,55,59,57,42,447,18795
7379,23-09-2012,Marathon Oasis de Montreal,Marathon,04:43:58,M40-44,M,23-09-2012,23,2012,6,9,NULL,MONTREAL QC,1,6,40,44,42,42,405,17038
7380,28-09-2014,Marathon Oasis Rock â€˜nâ€™ Roll de MontrÃ©al,Marathon,03:49:41,M40-44,M,28-09-2014,28,2014,6,9,NULL,MONTREAL QC,1,6,40,44,42,42,328,13781
7381,23-09-2012,Marathon Oasis de Montreal,Marathon,04:27:13,M30-34,M,23-09-2012,23,2012,6,9,NULL,MONTREAL QC,1,6,30,34,32,42,381,16033
7382,23-09-2012,Marathon Oasis de Montreal,Marathon,04:14:09,F35-39,F,23-09-2012,23,2012,6,9,NULL,MONTREAL QC,1,6,35,39,37,42,363,15249
7383,23-09-2012,Marathon Oasis de Montreal,Marathon,03:42:12,M30-34,M,23-09-2012,23,2012,6,9,NULL,MONTREAL QC,1,6,30,34,32,42,317,13332
7384,20-09-2015,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,04:26:28,M25-29,M,20-09-2015,20,2015,6,9,NULL,MONTREAL QC,1,6,25,29,27,42,380,15988
7385,20-09-2015,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,05:27:23,F18-24,F,20-09-2015,20,2015,6,9,NULL,MONTREAL QC,1,6,18,24,21,42,467,19643
7387,23-09-2012,Marathon Oasis de Montreal,Marathon,04:46:46,M60-64,M,23-09-2012,23,2012,6,9,NULL,MONTREAL QC,1,6,60,64,62,42,409,17206
7388,28-09-2014,Marathon Oasis Rock â€˜nâ€™ Roll de MontrÃ©al,Marathon,05:43:32,F45-49,F,28-09-2014,28,2014,6,9,NULL,MONTREAL QC,1,6,45,49,47,42,490,20612
7389,22-09-2013,Marathon Oasis de Montreal,Marathon,04:18:54,M25-29,M,22-09-2013,22,2013,6,9,NULL,MONTREAL QC,1,6,25,29,27,42,369,15534
7389,23-09-2012,Marathon Oasis de Montreal,Marathon,04:07:57,M18-24,M,23-09-2012,23,2012,6,9,NULL,MONTREAL QC,1,6,18,24,21,42,354,14877
7390,20-09-2015,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,04:28:00,M40-44,M,20-09-2015,20,2015,6,9,NULL,MONTREAL QC,1,6,40,44,42,42,382,16080
7391,20-09-2015,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,05:52:20,F45-49,F,20-09-2015,20,2015,6,9,NULL,MONTREAL QC,1,6,45,49,47,42,503,21140
7392,28-09-2014,Marathon Oasis Rock â€˜nâ€™ Roll de MontrÃ©al,Marathon,04:23:08,M45-49,M,28-09-2014,28,2014,6,9,NULL,MONTREAL QC,1,6,45,49,47,42,375,15788
7392,22-09-2013,Marathon Oasis de Montreal,Marathon,03:50:22,M45-49,M,22-09-2013,22,2013,6,9,NULL,MONTREAL QC,1,6,45,49,47,42,329,13822
7393,28-09-2014,Marathon Oasis Rock â€˜nâ€™ Roll de MontrÃ©al,Marathon,04:31:28,M55-59,M,28-09-2014,28,2014,6,9,NULL,MONTREAL QC,1,6,55,59,57,42,387,16288
7395,20-09-2015,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,06:17:00,M50-54,M,20-09-2015,20,2015,6,9,NULL,MONTREAL QC,1,6,50,54,52,42,538,22620
7395,08-12-2013,Honolulu Marathon,Marathon,04:46:34,M50-54,M,08-12-2013,8,2013,6,12,NULL,HONOLULU,1,5,50,54,52,42,409,17194
7396,20-09-2015,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,04:17:13,F35-39,F,20-09-2015,20,2015,6,9,NULL,MONTREAL QC,1,6,35,39,37,42,367,15433
7396,28-09-2014,Marathon Oasis Rock â€˜nâ€™ Roll de MontrÃ©al,Marathon,04:34:19,F35-39,F,28-09-2014,28,2014,6,9,NULL,MONTREAL QC,1,6,35,39,37,42,391,16459
7396,22-09-2013,Marathon Oasis de Montreal,Marathon,04:17:47,F35-39,F,22-09-2013,22,2013,6,9,NULL,MONTREAL QC,1,6,35,39,37,42,368,15467
7397,20-09-2015,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,03:49:33,M25-29,M,20-09-2015,20,2015,6,9,NULL,MONTREAL QC,1,6,25,29,27,42,327,13773
7397,22-09-2013,Marathon Oasis de Montreal,Marathon,03:57:36,M18-24,M,22-09-2013,22,2013,6,9,NULL,MONTREAL QC,1,6,18,24,21,42,339,14256
7398,23-09-2012,Marathon Oasis de Montreal,Marathon,04:21:54,M25-29,M,23-09-2012,23,2012,6,9,NULL,MONTREAL QC,1,6,25,29,27,42,374,15714
7398,26-08-2012,Marathon des Deux Rives LÃ©vis-QuÃ©bec,Marathon,03:40:28,M18-29,M,26-08-2012,26,2012,6,8,NULL,QUEBEC QC,1,5,18,29,23,42,314,13228
7399,20-09-2015,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,05:15:09,F25-29,F,20-09-2015,20,2015,6,9,NULL,MONTREAL QC,1,6,25,29,27,42,450,18909
7400,23-09-2012,Marathon Oasis de Montreal,Marathon,04:09:33,F40-44,F,23-09-2012,23,2012,6,9,NULL,MONTREAL QC,1,6,40,44,42,42,356,14973
7402,20-09-2015,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,-1,M18-24,M,20-09-2015,20,2015,6,9,NULL,MONTREAL QC,1,6,18,24,21,42,0,0
7403,20-09-2015,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,04:12:51,F50-54,F,20-09-2015,20,2015,6,9,NULL,MONTREAL QC,1,6,50,54,52,42,361,15171
7404,20-09-2015,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,03:09:52,M35-39,M,20-09-2015,20,2015,6,9,NULL,MONTREAL QC,1,6,35,39,37,42,271,11392
7405,20-09-2015,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,04:28:30,M40-44,M,20-09-2015,20,2015,6,9,NULL,MONTREAL QC,1,6,40,44,42,42,383,16110
7406,20-09-2015,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,04:31:42,M35-39,M,20-09-2015,20,2015,6,9,NULL,MONTREAL QC,1,6,35,39,37,42,388,16302
7407,28-09-2014,Marathon Oasis Rock â€˜nâ€™ Roll de MontrÃ©al,Marathon,04:27:27,M18-24,M,28-09-2014,28,2014,6,9,NULL,MONTREAL QC,1,6,18,24,21,42,382,16047
7408,28-09-2014,Marathon Oasis Rock â€˜nâ€™ Roll de MontrÃ©al,Marathon,05:03:51,F50-54,F,28-09-2014,28,2014,6,9,NULL,MONTREAL QC,1,6,50,54,52,42,434,18231
7409,22-09-2013,Marathon Oasis de Montreal,Marathon,05:00:00,M50-54,M,22-09-2013,22,2013,6,9,NULL,MONTREAL QC,1,6,50,54,52,42,428,18000
7410,28-09-2014,Marathon Oasis Rock â€˜nâ€™ Roll de MontrÃ©al,Marathon,05:25:42,M25-29,M,28-09-2014,28,2014,6,9,NULL,MONTREAL QC,1,6,25,29,27,42,465,19542
7412,28-09-2014,Marathon Oasis Rock â€˜nâ€™ Roll de MontrÃ©al,Marathon,05:00:53,M35-39,M,28-09-2014,28,2014,6,9,NULL,MONTREAL QC,1,6,35,39,37,42,429,18053
7414,28-09-2014,Marathon Oasis Rock â€˜nâ€™ Roll de MontrÃ©al,Marathon,04:44:52,M30-34,M,28-09-2014,28,2014,6,9,NULL,MONTREAL QC,1,6,30,34,32,42,406,17092
7415,20-09-2015,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,04:35:21,M65-69,M,20-09-2015,20,2015,6,9,NULL,MONTREAL QC,1,6,65,69,67,42,393,16521
7417,20-09-2015,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,04:27:29,M25-29,M,20-09-2015,20,2015,6,9,NULL,MONTREAL QC,1,6,25,29,27,42,382,16049
7418,22-09-2013,Marathon Oasis de Montreal,Marathon,03:46:38,M30-34,M,22-09-2013,22,2013,6,9,NULL,MONTREAL QC,1,6,30,34,32,42,323,13598
7418,26-08-2012,Marathon des Deux Rives LÃ©vis-QuÃ©bec,Marathon,05:03:24,M30-39,M,26-08-2012,26,2012,6,8,NULL,QUEBEC QC,1,5,30,39,34,42,433,18204
7419,28-09-2014,Marathon Oasis Rock â€˜nâ€™ Roll de MontrÃ©al,Marathon,04:42:55,M35-39,M,28-09-2014,28,2014,6,9,NULL,MONTREAL QC,1,6,35,39,37,42,404,16975
7420,28-09-2014,Marathon Oasis Rock â€˜nâ€™ Roll de MontrÃ©al,Marathon,05:01:17,M30-34,M,28-09-2014,28,2014,6,9,NULL,MONTREAL QC,1,6,30,34,32,42,430,18077
7422,28-09-2014,Marathon Oasis Rock â€˜nâ€™ Roll de MontrÃ©al,Marathon,03:51:49,M25-29,M,28-09-2014,28,2014,6,9,NULL,MONTREAL QC,1,6,25,29,27,42,331,13909
7423,20-09-2015,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,04:25:42,F50-54,F,20-09-2015,20,2015,6,9,NULL,MONTREAL QC,1,6,50,54,52,42,379,15942
7424,20-09-2015,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,04:36:57,M15-17,M,20-09-2015,20,2015,6,9,NULL,MONTREAL QC,1,6,15,17,16,42,395,16617
7425,20-09-2015,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,06:01:36,M35-39,M,20-09-2015,20,2015,6,9,NULL,MONTREAL QC,1,6,35,39,37,42,516,21696
7425,28-09-2014,Marathon Oasis Rock â€˜nâ€™ Roll de MontrÃ©al,Marathon,06:28:42,M35-39,M,28-09-2014,28,2014,6,9,NULL,MONTREAL QC,1,6,35,39,37,42,555,23322
7427,23-09-2012,Marathon Oasis de Montreal,Marathon,03:51:11,M25-29,M,23-09-2012,23,2012,6,9,NULL,MONTREAL QC,1,6,25,29,27,42,330,13871
7428,22-09-2013,Marathon Oasis de Montreal,Marathon,03:50:33,M25-29,M,22-09-2013,22,2013,6,9,NULL,MONTREAL QC,1,6,25,29,27,42,329,13833
7429,23-09-2012,Marathon Oasis de Montreal,Marathon,04:12:50,F45-49,F,23-09-2012,23,2012,6,9,NULL,MONTREAL QC,1,6,45,49,47,42,361,15170
7430,20-09-2015,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,04:35:49,M25-29,M,20-09-2015,20,2015,6,9,NULL,MONTREAL QC,1,6,25,29,27,42,394,16549
7431,28-09-2014,Marathon Oasis Rock â€˜nâ€™ Roll de MontrÃ©al,Marathon,06:01:26,M25-29,M,28-09-2014,28,2014,6,9,NULL,MONTREAL QC,1,6,25,29,27,42,516,21686
7432,20-09-2015,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,04:33:54,M50-54,M,20-09-2015,20,2015,6,9,NULL,MONTREAL QC,1,6,50,54,52,42,391,16434
7433,22-09-2013,Marathon Oasis de Montreal,Marathon,04:50:01,F25-29,F,22-09-2013,22,2013,6,9,NULL,MONTREAL QC,1,6,25,29,27,42,414,17401
7434,23-09-2012,Marathon Oasis de Montreal,Marathon,04:31:05,F35-39,F,23-09-2012,23,2012,6,9,NULL,MONTREAL QC,1,6,35,39,37,42,387,16265
7435,20-09-2015,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,05:18:26,F55-59,F,20-09-2015,20,2015,6,9,NULL,MONTREAL QC,1,6,55,59,57,42,454,19106
7436,01-05-2016,Mississauga Marathon Races,Marathon,04:30:40,F50-59,F,01-05-2016,1,2016,6,5,NULL,MISSISSAUGA,1,5,50,59,54,42,386,16240
7436,28-09-2014,Marathon Oasis Rock â€˜nâ€™ Roll de MontrÃ©al,Marathon,03:53:07,F50-54,F,28-09-2014,28,2014,6,9,NULL,MONTREAL QC,1,6,50,54,52,42,333,13987
7436,25-05-2014,Tamarack Ottawa Race Weekend,Marathon,-1,F50-54,F,25-05-2014,25,2014,6,5,NULL,OTTAWA ON,1,5,50,54,52,42,0,0
7436,05-05-2013,Mississauga Marathon Races,Marathon,05:31:37,F50-59,F,05-05-2013,5,2013,6,5,NULL,MISSISSAUGA,1,5,50,59,54,42,473,19897
7437,20-09-2015,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,03:58:15,M30-34,M,20-09-2015,20,2015,6,9,NULL,MONTREAL QC,1,6,30,34,32,42,340,14295
7437,28-09-2014,Marathon Oasis Rock â€˜nâ€™ Roll de MontrÃ©al,Marathon,04:50:14,M30-34,M,28-09-2014,28,2014,6,9,NULL,MONTREAL QC,1,6,30,34,32,42,414,17414
7438,22-09-2013,Marathon Oasis de Montreal,Marathon,03:39:23,M55-59,M,22-09-2013,22,2013,6,9,NULL,MONTREAL QC,1,6,55,59,57,42,313,13163
7439,23-09-2012,Marathon Oasis de Montreal,Marathon,04:42:07,M50-54,M,23-09-2012,23,2012,6,9,NULL,MONTREAL QC,1,6,50,54,52,42,403,16927
7440,22-09-2013,Marathon Oasis de Montreal,Marathon,04:37:09,M30-34,M,22-09-2013,22,2013,6,9,NULL,MONTREAL QC,1,6,30,34,32,42,395,16629
7441,20-09-2015,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,05:46:13,M35-39,M,20-09-2015,20,2015,6,9,NULL,MONTREAL QC,1,6,35,39,37,42,494,20773
7442,23-09-2012,Marathon Oasis de Montreal,Marathon,04:15:13,M18-24,M,23-09-2012,23,2012,6,9,NULL,MONTREAL QC,1,6,18,24,21,42,364,15313
7444,28-09-2014,Marathon Oasis Rock â€˜nâ€™ Roll de MontrÃ©al,Marathon,03:32:44,M35-39,M,28-09-2014,28,2014,6,9,NULL,MONTREAL QC,1,6,35,39,37,42,303,12764
7445,20-09-2015,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,04:33:57,F18-24,F,20-09-2015,20,2015,6,9,NULL,MONTREAL QC,1,6,18,24,21,42,391,16437
7446,20-09-2015,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,05:18:26,F15-17,F,20-09-2015,20,2015,6,9,NULL,MONTREAL QC,1,6,15,17,16,42,454,19106
7447,26-05-2013,Ottawa Race Weekend,Marathon,-1,F50-54,F,26-05-2013,26,2013,6,5,NULL,OTTAWA ON,1,5,50,54,52,42,0,0
7447,23-09-2012,Marathon Oasis de Montreal,Marathon,04:04:46,F50-54,F,23-09-2012,23,2012,6,9,NULL,MONTREAL QC,1,6,50,54,52,42,349,14686
7447,27-05-2012,Ottawa Race Weekend,Marathon,04:01:24,F45-49,F,27-05-2012,27,2012,6,5,NULL,OTTAWA ON,1,5,45,49,47,42,344,14484
7448,28-09-2014,Marathon Oasis Rock â€˜nâ€™ Roll de MontrÃ©al,Marathon,04:05:32,M35-39,M,28-09-2014,28,2014,6,9,NULL,MONTREAL QC,1,6,35,39,37,42,350,14732
7449,20-09-2015,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,-1,M25-29,M,20-09-2015,20,2015,6,9,NULL,MONTREAL QC,1,6,25,29,27,42,0,0
7450,22-09-2013,Marathon Oasis de Montreal,Marathon,04:10:20,M35-39,M,22-09-2013,22,2013,6,9,NULL,MONTREAL QC,1,6,35,39,37,42,357,15020
7451,20-09-2015,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,05:06:30,M45-49,M,20-09-2015,20,2015,6,9,NULL,MONTREAL QC,1,6,45,49,47,42,437,18390
7452,23-09-2012,Marathon Oasis de Montreal,Marathon,03:58:35,M30-34,M,23-09-2012,23,2012,6,9,NULL,MONTREAL QC,1,6,30,34,32,42,340,14315
7455,20-09-2015,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,-1,F40-44,F,20-09-2015,20,2015,6,9,NULL,MONTREAL QC,1,6,40,44,42,42,0,0
7456,22-09-2013,Marathon Oasis de Montreal,Marathon,03:26:50,F40-44,F,22-09-2013,22,2013,6,9,NULL,MONTREAL QC,1,6,40,44,42,42,295,12410
7456,26-05-2013,Ottawa Race Weekend,Marathon,-1,F40-44,F,26-05-2013,26,2013,6,5,NULL,OTTAWA ON,1,5,40,44,42,42,0,0
7456,23-09-2012,Marathon Oasis de Montreal,Marathon,03:28:25,F35-39,F,23-09-2012,23,2012,6,9,NULL,MONTREAL QC,1,6,35,39,37,42,297,12505
7457,28-09-2014,Marathon Oasis Rock â€˜nâ€™ Roll de MontrÃ©al,Marathon,05:09:24,F55-59,F,28-09-2014,28,2014,6,9,NULL,MONTREAL QC,1,6,55,59,57,42,442,18564
7460,23-09-2012,Marathon Oasis de Montreal,Marathon,03:58:56,M50-54,M,23-09-2012,23,2012,6,9,NULL,MONTREAL QC,1,6,50,54,52,42,341,14336
7461,28-09-2014,Marathon Oasis Rock â€˜nâ€™ Roll de MontrÃ©al,Marathon,05:43:51,F25-29,F,28-09-2014,28,2014,6,9,NULL,MONTREAL QC,1,6,25,29,27,42,491,20631
7462,20-09-2015,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,03:51:53,F35-39,F,20-09-2015,20,2015,6,9,NULL,MONTREAL QC,1,6,35,39,37,42,331,13913
7463,28-09-2014,Marathon Oasis Rock â€˜nâ€™ Roll de MontrÃ©al,Marathon,05:52:57,M30-34,M,28-09-2014,28,2014,6,9,NULL,MONTREAL QC,1,6,30,34,32,42,504,21177
7464,20-09-2015,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,05:49:03,M30-34,M,20-09-2015,20,2015,6,9,NULL,MONTREAL QC,1,6,30,34,32,42,498,20943
7465,20-09-2015,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,04:10:09,F40-44,F,20-09-2015,20,2015,6,9,NULL,MONTREAL QC,1,6,40,44,42,42,357,15009
7465,20-10-2013,Scotiabank Toronto Waterfront Marathon,Marathon,03:57:08,F40-44,F,20-10-2013,20,2013,6,10,NULL,TORONTO ON,1,5,40,44,42,42,338,14228
7466,20-09-2015,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,03:52:19,M40-44,M,20-09-2015,20,2015,6,9,NULL,MONTREAL QC,1,6,40,44,42,42,331,13939
7466,22-09-2013,Marathon Oasis de Montreal,Marathon,03:35:43,M35-39,M,22-09-2013,22,2013,6,9,NULL,MONTREAL QC,1,6,35,39,37,42,308,12943
